bidirectional ON,remove-redundant-parts ON,remove-redundant-sets ON,generate-less ON,smart-kleene-order ON,benchmark,file_type,timeout_ms,time_ms,terminated
1,1,1,1,1,arithmetic,ser,30000,85.0,1
0,1,1,1,1,arithmetic,ser,30000,83.0,1
1,0,1,1,1,arithmetic,ser,30000,85.0,1
0,0,1,1,1,arithmetic,ser,30000,87.0,1
1,1,0,1,1,arithmetic,ser,30000,82.0,1
0,1,0,1,1,arithmetic,ser,30000,90.0,1
1,0,0,1,1,arithmetic,ser,30000,82.0,1
0,0,0,1,1,arithmetic,ser,30000,86.0,1
1,1,1,0,1,arithmetic,ser,30000,85.0,1
0,1,1,0,1,arithmetic,ser,30000,83.0,1
1,0,1,0,1,arithmetic,ser,30000,91.0,1
0,0,1,0,1,arithmetic,ser,30000,82.0,1
1,1,0,0,1,arithmetic,ser,30000,86.0,1
0,1,0,0,1,arithmetic,ser,30000,88.0,1
1,0,0,0,1,arithmetic,ser,30000,84.0,1
0,0,0,0,1,arithmetic,ser,30000,88.0,1
1,1,1,1,0,arithmetic,ser,30000,83.0,1
0,1,1,1,0,arithmetic,ser,30000,87.0,1
1,0,1,1,0,arithmetic,ser,30000,82.0,1
0,0,1,1,0,arithmetic,ser,30000,83.0,1
1,1,0,1,0,arithmetic,ser,30000,82.0,1
0,1,0,1,0,arithmetic,ser,30000,91.0,1
1,0,0,1,0,arithmetic,ser,30000,82.0,1
0,0,0,1,0,arithmetic,ser,30000,86.0,1
1,1,1,0,0,arithmetic,ser,30000,87.0,1
0,1,1,0,0,arithmetic,ser,30000,83.0,1
1,0,1,0,0,arithmetic,ser,30000,82.0,1
0,0,1,0,0,arithmetic,ser,30000,83.0,1
1,1,0,0,0,arithmetic,ser,30000,90.0,1
0,1,0,0,0,arithmetic,ser,30000,87.0,1
1,0,0,0,0,arithmetic,ser,30000,86.0,1
0,0,0,0,0,arithmetic,ser,30000,92.0,1
1,1,1,1,1,bank,ser,30000,30104.0,0
0,1,1,1,1,bank,ser,30000,30017.0,0
1,0,1,1,1,bank,ser,30000,30100.0,0
0,0,1,1,1,bank,ser,30000,30019.0,0
1,1,0,1,1,bank,ser,30000,30018.0,0
0,1,0,1,1,bank,ser,30000,30024.0,0
1,0,0,1,1,bank,ser,30000,30105.0,0
0,0,0,1,1,bank,ser,30000,30022.0,0
1,1,1,0,1,bank,ser,30000,13661.0,1
0,1,1,0,1,bank,ser,30000,31056.0,0
1,0,1,0,1,bank,ser,30000,30887.0,0
0,0,1,0,1,bank,ser,30000,2669.0,1
1,1,0,0,1,bank,ser,30000,12866.0,1
0,1,0,0,1,bank,ser,30000,30532.0,0
1,0,0,0,1,bank,ser,30000,26335.0,1
0,0,0,0,1,bank,ser,30000,30530.0,0
1,1,1,1,0,bank,ser,30000,30091.0,0
0,1,1,1,0,bank,ser,30000,30019.0,0
1,0,1,1,0,bank,ser,30000,30092.0,0
0,0,1,1,0,bank,ser,30000,30019.0,0
1,1,0,1,0,bank,ser,30000,30095.0,0
0,1,0,1,0,bank,ser,30000,30024.0,0
1,0,0,1,0,bank,ser,30000,30084.0,0
0,0,0,1,0,bank,ser,30000,30032.0,0
1,1,1,0,0,bank,ser,30000,30346.0,0
0,1,1,0,0,bank,ser,30000,30613.0,0
1,0,1,0,0,bank,ser,30000,27504.0,1
0,0,1,0,0,bank,ser,30000,30828.0,0
1,1,0,0,0,bank,ser,30000,30586.0,0
0,1,0,0,0,bank,ser,30000,2677.0,1
1,0,0,0,0,bank,ser,30000,30518.0,0
0,0,0,0,0,bank,ser,30000,2566.0,1
1,1,1,1,1,bank_without_yields,ser,30000,30014.0,0
0,1,1,1,1,bank_without_yields,ser,30000,30016.0,0
1,0,1,1,1,bank_without_yields,ser,30000,30014.0,0
0,0,1,1,1,bank_without_yields,ser,30000,30016.0,0
1,1,0,1,1,bank_without_yields,ser,30000,30019.0,0
0,1,0,1,1,bank_without_yields,ser,30000,30013.0,0
1,0,0,1,1,bank_without_yields,ser,30000,30022.0,0
0,0,0,1,1,bank_without_yields,ser,30000,30028.0,0
1,1,1,0,1,bank_without_yields,ser,30000,30801.0,0
0,1,1,0,1,bank_without_yields,ser,30000,31265.0,0
1,0,1,0,1,bank_without_yields,ser,30000,31022.0,0
0,0,1,0,1,bank_without_yields,ser,30000,15447.0,1
1,1,0,0,1,bank_without_yields,ser,30000,31058.0,0
0,1,0,0,1,bank_without_yields,ser,30000,182.0,1
1,0,0,0,1,bank_without_yields,ser,30000,178.0,1
0,0,0,0,1,bank_without_yields,ser,30000,30621.0,0
1,1,1,1,0,bank_without_yields,ser,30000,30014.0,0
0,1,1,1,0,bank_without_yields,ser,30000,30019.0,0
1,0,1,1,0,bank_without_yields,ser,30000,30015.0,0
0,0,1,1,0,bank_without_yields,ser,30000,30013.0,0
1,1,0,1,0,bank_without_yields,ser,30000,30017.0,0
0,1,0,1,0,bank_without_yields,ser,30000,30022.0,0
1,0,0,1,0,bank_without_yields,ser,30000,30021.0,0
0,0,0,1,0,bank_without_yields,ser,30000,30016.0,0
1,1,1,0,0,bank_without_yields,ser,30000,30536.0,0
0,1,1,0,0,bank_without_yields,ser,30000,31386.0,0
1,0,1,0,0,bank_without_yields,ser,30000,201.0,1
0,0,1,0,0,bank_without_yields,ser,30000,15178.0,1
1,1,0,0,0,bank_without_yields,ser,30000,30937.0,0
0,1,0,0,0,bank_without_yields,ser,30000,308.0,1
1,0,0,0,0,bank_without_yields,ser,30000,201.0,1
0,0,0,0,0,bank_without_yields,ser,30000,30984.0,0
1,1,1,1,1,BGP_routing,ser,30000,26569.0,1
0,1,1,1,1,BGP_routing,ser,30000,30005.0,0
1,0,1,1,1,BGP_routing,ser,30000,21870.0,1
0,0,1,1,1,BGP_routing,ser,30000,30005.0,0
1,1,0,1,1,BGP_routing,ser,30000,30084.0,0
0,1,0,1,1,BGP_routing,ser,30000,30004.0,0
1,0,0,1,1,BGP_routing,ser,30000,19593.0,1
0,0,0,1,1,BGP_routing,ser,30000,30005.0,0
1,1,1,0,1,BGP_routing,ser,30000,30228.0,0
0,1,1,0,1,BGP_routing,ser,30000,30043.0,0
1,0,1,0,1,BGP_routing,ser,30000,30238.0,0
0,0,1,0,1,BGP_routing,ser,30000,30082.0,0
1,1,0,0,1,BGP_routing,ser,30000,30046.0,0
0,1,0,0,1,BGP_routing,ser,30000,30231.0,0
1,0,0,0,1,BGP_routing,ser,30000,30045.0,0
0,0,0,0,1,BGP_routing,ser,30000,30226.0,0
1,1,1,1,0,BGP_routing,ser,30000,19209.0,1
0,1,1,1,0,BGP_routing,ser,30000,30005.0,0
1,0,1,1,0,BGP_routing,ser,30000,28178.0,1
0,0,1,1,0,BGP_routing,ser,30000,30181.0,0
1,1,0,1,0,BGP_routing,ser,30000,25787.0,1
0,1,0,1,0,BGP_routing,ser,30000,30005.0,0
1,0,0,1,0,BGP_routing,ser,30000,30084.0,0
0,0,0,1,0,BGP_routing,ser,30000,30005.0,0
1,1,1,0,0,BGP_routing,ser,30000,30253.0,0
0,1,1,0,0,BGP_routing,ser,30000,30259.0,0
1,0,1,0,0,BGP_routing,ser,30000,30280.0,0
0,0,1,0,0,BGP_routing,ser,30000,30070.0,0
1,1,0,0,0,BGP_routing,ser,30000,30260.0,0
0,1,0,0,0,BGP_routing,ser,30000,30283.0,0
1,0,0,0,0,BGP_routing,ser,30000,30084.0,0
0,0,0,0,0,BGP_routing,ser,30000,30050.0,0
1,1,1,1,1,boolean_ops,ser,30000,85.0,1
0,1,1,1,1,boolean_ops,ser,30000,88.0,1
1,0,1,1,1,boolean_ops,ser,30000,83.0,1
0,0,1,1,1,boolean_ops,ser,30000,82.0,1
1,1,0,1,1,boolean_ops,ser,30000,85.0,1
0,1,0,1,1,boolean_ops,ser,30000,89.0,1
1,0,0,1,1,boolean_ops,ser,30000,86.0,1
0,0,0,1,1,boolean_ops,ser,30000,79.0,1
1,1,1,0,1,boolean_ops,ser,30000,83.0,1
0,1,1,0,1,boolean_ops,ser,30000,81.0,1
1,0,1,0,1,boolean_ops,ser,30000,82.0,1
0,0,1,0,1,boolean_ops,ser,30000,84.0,1
1,1,0,0,1,boolean_ops,ser,30000,85.0,1
0,1,0,0,1,boolean_ops,ser,30000,89.0,1
1,0,0,0,1,boolean_ops,ser,30000,91.0,1
0,0,0,0,1,boolean_ops,ser,30000,85.0,1
1,1,1,1,0,boolean_ops,ser,30000,88.0,1
0,1,1,1,0,boolean_ops,ser,30000,87.0,1
1,0,1,1,0,boolean_ops,ser,30000,85.0,1
0,0,1,1,0,boolean_ops,ser,30000,86.0,1
1,1,0,1,0,boolean_ops,ser,30000,86.0,1
0,1,0,1,0,boolean_ops,ser,30000,89.0,1
1,0,0,1,0,boolean_ops,ser,30000,86.0,1
0,0,0,1,0,boolean_ops,ser,30000,90.0,1
1,1,1,0,0,boolean_ops,ser,30000,80.0,1
0,1,1,0,0,boolean_ops,ser,30000,86.0,1
1,0,1,0,0,boolean_ops,ser,30000,82.0,1
0,0,1,0,0,boolean_ops,ser,30000,85.0,1
1,1,0,0,0,boolean_ops,ser,30000,85.0,1
0,1,0,0,0,boolean_ops,ser,30000,84.0,1
1,0,0,0,0,boolean_ops,ser,30000,86.0,1
0,0,0,0,0,boolean_ops,ser,30000,87.0,1
1,1,1,1,1,complex_expr,ser,30000,85.0,1
0,1,1,1,1,complex_expr,ser,30000,86.0,1
1,0,1,1,1,complex_expr,ser,30000,85.0,1
0,0,1,1,1,complex_expr,ser,30000,79.0,1
1,1,0,1,1,complex_expr,ser,30000,85.0,1
0,1,0,1,1,complex_expr,ser,30000,83.0,1
1,0,0,1,1,complex_expr,ser,30000,87.0,1
0,0,0,1,1,complex_expr,ser,30000,82.0,1
1,1,1,0,1,complex_expr,ser,30000,85.0,1
0,1,1,0,1,complex_expr,ser,30000,81.0,1
1,0,1,0,1,complex_expr,ser,30000,80.0,1
0,0,1,0,1,complex_expr,ser,30000,84.0,1
1,1,0,0,1,complex_expr,ser,30000,85.0,1
0,1,0,0,1,complex_expr,ser,30000,80.0,1
1,0,0,0,1,complex_expr,ser,30000,84.0,1
0,0,0,0,1,complex_expr,ser,30000,84.0,1
1,1,1,1,0,complex_expr,ser,30000,83.0,1
0,1,1,1,0,complex_expr,ser,30000,81.0,1
1,0,1,1,0,complex_expr,ser,30000,81.0,1
0,0,1,1,0,complex_expr,ser,30000,81.0,1
1,1,0,1,0,complex_expr,ser,30000,83.0,1
0,1,0,1,0,complex_expr,ser,30000,81.0,1
1,0,0,1,0,complex_expr,ser,30000,86.0,1
0,0,0,1,0,complex_expr,ser,30000,83.0,1
1,1,1,0,0,complex_expr,ser,30000,89.0,1
0,1,1,0,0,complex_expr,ser,30000,80.0,1
1,0,1,0,0,complex_expr,ser,30000,85.0,1
0,0,1,0,0,complex_expr,ser,30000,87.0,1
1,1,0,0,0,complex_expr,ser,30000,89.0,1
0,1,0,0,0,complex_expr,ser,30000,82.0,1
1,0,0,0,0,complex_expr,ser,30000,84.0,1
0,0,0,0,0,complex_expr,ser,30000,85.0,1
1,1,1,1,1,complex_while_with_yields,ser,30000,30003.0,0
0,1,1,1,1,complex_while_with_yields,ser,30000,30003.0,0
1,0,1,1,1,complex_while_with_yields,ser,30000,30004.0,0
0,0,1,1,1,complex_while_with_yields,ser,30000,30003.0,0
1,1,0,1,1,complex_while_with_yields,ser,30000,30004.0,0
0,1,0,1,1,complex_while_with_yields,ser,30000,30003.0,0
