mode,example,elapsed_ms
regular,arithmetic,98
bidirectional,arithmetic,100
remove-redundant-parts,arithmetic,99
bidirectional+remove-redundant-parts,arithmetic,98
remove-redundant-sets,arithmetic,103
bidirectional+remove-redundant-sets,arithmetic,104
remove-redundant-parts+remove-redundant-sets,arithmetic,100
bidirectional+remove-redundant-parts+remove-redundant-sets,arithmetic,109
generate-less,arithmetic,112
bidirectional+generate-less,arithmetic,108
remove-redundant-parts+generate-less,arithmetic,119
bidirectional+remove-redundant-parts+generate-less,arithmetic,101
remove-redundant-sets+generate-less,arithmetic,102
bidirectional+remove-redundant-sets+generate-less,arithmetic,105
remove-redundant-parts+remove-redundant-sets+generate-less,arithmetic,108
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less,arithmetic,104
smart-kleene-order,arithmetic,105
bidirectional+smart-kleene-order,arithmetic,106
remove-redundant-parts+smart-kleene-order,arithmetic,103
bidirectional+remove-redundant-parts+smart-kleene-order,arithmetic,103
remove-redundant-sets+smart-kleene-order,arithmetic,106
bidirectional+remove-redundant-sets+smart-kleene-order,arithmetic,101
remove-redundant-parts+remove-redundant-sets+smart-kleene-order,arithmetic,101
bidirectional+remove-redundant-parts+remove-redundant-sets+smart-kleene-order,arithmetic,102
generate-less+smart-kleene-order,arithmetic,97
bidirectional+generate-less+smart-kleene-order,arithmetic,103
remove-redundant-parts+generate-less+smart-kleene-order,arithmetic,98
bidirectional+remove-redundant-parts+generate-less+smart-kleene-order,arithmetic,100
remove-redundant-sets+generate-less+smart-kleene-order,arithmetic,100
bidirectional+remove-redundant-sets+generate-less+smart-kleene-order,arithmetic,100
remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,arithmetic,106
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,arithmetic,101
regular,bank,60008
bidirectional,bank,60342
remove-redundant-parts,bank,7868
bidirectional+remove-redundant-parts,bank,60327
remove-redundant-sets,bank,49149
bidirectional+remove-redundant-sets,bank,60027
remove-redundant-parts+remove-redundant-sets,bank,60135
bidirectional+remove-redundant-parts+remove-redundant-sets,bank,60045
generate-less,bank,61732
bidirectional+generate-less,bank,62439
remove-redundant-parts+generate-less,bank,46880
bidirectional+remove-redundant-parts+generate-less,bank,8407
remove-redundant-sets+generate-less,bank,61142
bidirectional+remove-redundant-sets+generate-less,bank,22736
remove-redundant-parts+remove-redundant-sets+generate-less,bank,61034
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less,bank,61093
smart-kleene-order,bank,60105
bidirectional+smart-kleene-order,bank,60026
remove-redundant-parts+smart-kleene-order,bank,60031
bidirectional+remove-redundant-parts+smart-kleene-order,bank,60023
remove-redundant-sets+smart-kleene-order,bank,60029
bidirectional+remove-redundant-sets+smart-kleene-order,bank,60026
remove-redundant-parts+remove-redundant-sets+smart-kleene-order,bank,60105
bidirectional+remove-redundant-parts+remove-redundant-sets+smart-kleene-order,bank,60044
generate-less+smart-kleene-order,bank,9223
bidirectional+generate-less+smart-kleene-order,bank,60987
remove-redundant-parts+generate-less+smart-kleene-order,bank,61892
bidirectional+remove-redundant-parts+generate-less+smart-kleene-order,bank,61000
remove-redundant-sets+generate-less+smart-kleene-order,bank,60940
bidirectional+remove-redundant-sets+generate-less+smart-kleene-order,bank,61163
remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,bank,60841
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,bank,60994
regular,bank_without_yields,60014
bidirectional,bank_without_yields,60015
remove-redundant-parts,bank_without_yields,60015
bidirectional+remove-redundant-parts,bank_without_yields,60014
remove-redundant-sets,bank_without_yields,60019
bidirectional+remove-redundant-sets,bank_without_yields,60019
remove-redundant-parts+remove-redundant-sets,bank_without_yields,60023
bidirectional+remove-redundant-parts+remove-redundant-sets,bank_without_yields,60022
generate-less,bank_without_yields,61421
bidirectional+generate-less,bank_without_yields,231
remove-redundant-parts+generate-less,bank_without_yields,62078
bidirectional+remove-redundant-parts+generate-less,bank_without_yields,63476
remove-redundant-sets+generate-less,bank_without_yields,61561
bidirectional+remove-redundant-sets+generate-less,bank_without_yields,247
remove-redundant-parts+remove-redundant-sets+generate-less,bank_without_yields,230
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less,bank_without_yields,243
smart-kleene-order,bank_without_yields,60014
bidirectional+smart-kleene-order,bank_without_yields,60017
remove-redundant-parts+smart-kleene-order,bank_without_yields,60014
bidirectional+remove-redundant-parts+smart-kleene-order,bank_without_yields,60018
remove-redundant-sets+smart-kleene-order,bank_without_yields,60020
bidirectional+remove-redundant-sets+smart-kleene-order,bank_without_yields,60024
remove-redundant-parts+remove-redundant-sets+smart-kleene-order,bank_without_yields,60034
bidirectional+remove-redundant-parts+remove-redundant-sets+smart-kleene-order,bank_without_yields,60042
generate-less+smart-kleene-order,bank_without_yields,652
bidirectional+generate-less+smart-kleene-order,bank_without_yields,61545
remove-redundant-parts+generate-less+smart-kleene-order,bank_without_yields,388
bidirectional+remove-redundant-parts+generate-less+smart-kleene-order,bank_without_yields,538
remove-redundant-sets+generate-less+smart-kleene-order,bank_without_yields,63032
bidirectional+remove-redundant-sets+generate-less+smart-kleene-order,bank_without_yields,61707
remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,bank_without_yields,306
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,bank_without_yields,4055
regular,BGP_routing,35988
bidirectional,BGP_routing,60006
remove-redundant-parts,BGP_routing,33464
bidirectional+remove-redundant-parts,BGP_routing,60005
remove-redundant-sets,BGP_routing,46820
bidirectional+remove-redundant-sets,BGP_routing,60006
remove-redundant-parts+remove-redundant-sets,BGP_routing,38183
bidirectional+remove-redundant-parts+remove-redundant-sets,BGP_routing,60005
generate-less,BGP_routing,60355
bidirectional+generate-less,BGP_routing,60331
remove-redundant-parts+generate-less,BGP_routing,60185
bidirectional+remove-redundant-parts+generate-less,BGP_routing,60349
remove-redundant-sets+generate-less,BGP_routing,60333
bidirectional+remove-redundant-sets+generate-less,BGP_routing,60338
remove-redundant-parts+remove-redundant-sets+generate-less,BGP_routing,60090
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less,BGP_routing,60351
smart-kleene-order,BGP_routing,49282
bidirectional+smart-kleene-order,BGP_routing,60005
remove-redundant-parts+smart-kleene-order,BGP_routing,60141
bidirectional+remove-redundant-parts+smart-kleene-order,BGP_routing,60006
remove-redundant-sets+smart-kleene-order,BGP_routing,60110
bidirectional+remove-redundant-sets+smart-kleene-order,BGP_routing,60006
remove-redundant-parts+remove-redundant-sets+smart-kleene-order,BGP_routing,60152
bidirectional+remove-redundant-parts+remove-redundant-sets+smart-kleene-order,BGP_routing,60008
generate-less+smart-kleene-order,BGP_routing,60397
bidirectional+generate-less+smart-kleene-order,BGP_routing,60460
remove-redundant-parts+generate-less+smart-kleene-order,BGP_routing,60378
bidirectional+remove-redundant-parts+generate-less+smart-kleene-order,BGP_routing,60412
remove-redundant-sets+generate-less+smart-kleene-order,BGP_routing,60062
bidirectional+remove-redundant-sets+generate-less+smart-kleene-order,BGP_routing,60060
remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,BGP_routing,60053
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,BGP_routing,60057
regular,boolean_ops,128
bidirectional,boolean_ops,150
remove-redundant-parts,boolean_ops,140
bidirectional+remove-redundant-parts,boolean_ops,145
remove-redundant-sets,boolean_ops,140
bidirectional+remove-redundant-sets,boolean_ops,143
remove-redundant-parts+remove-redundant-sets,boolean_ops,126
bidirectional+remove-redundant-parts+remove-redundant-sets,boolean_ops,133
generate-less,boolean_ops,145
bidirectional+generate-less,boolean_ops,133
remove-redundant-parts+generate-less,boolean_ops,136
bidirectional+remove-redundant-parts+generate-less,boolean_ops,136
remove-redundant-sets+generate-less,boolean_ops,143
bidirectional+remove-redundant-sets+generate-less,boolean_ops,140
remove-redundant-parts+remove-redundant-sets+generate-less,boolean_ops,136
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less,boolean_ops,139
smart-kleene-order,boolean_ops,134
bidirectional+smart-kleene-order,boolean_ops,135
remove-redundant-parts+smart-kleene-order,boolean_ops,130
bidirectional+remove-redundant-parts+smart-kleene-order,boolean_ops,145
remove-redundant-sets+smart-kleene-order,boolean_ops,154
bidirectional+remove-redundant-sets+smart-kleene-order,boolean_ops,130
remove-redundant-parts+remove-redundant-sets+smart-kleene-order,boolean_ops,134
bidirectional+remove-redundant-parts+remove-redundant-sets+smart-kleene-order,boolean_ops,132
generate-less+smart-kleene-order,boolean_ops,130
bidirectional+generate-less+smart-kleene-order,boolean_ops,118
remove-redundant-parts+generate-less+smart-kleene-order,boolean_ops,131
bidirectional+remove-redundant-parts+generate-less+smart-kleene-order,boolean_ops,126
remove-redundant-sets+generate-less+smart-kleene-order,boolean_ops,120
bidirectional+remove-redundant-sets+generate-less+smart-kleene-order,boolean_ops,123
remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,boolean_ops,126
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,boolean_ops,130
regular,complex_expr,117
bidirectional,complex_expr,118
remove-redundant-parts,complex_expr,125
bidirectional+remove-redundant-parts,complex_expr,135
remove-redundant-sets,complex_expr,143
bidirectional+remove-redundant-sets,complex_expr,147
remove-redundant-parts+remove-redundant-sets,complex_expr,146
bidirectional+remove-redundant-parts+remove-redundant-sets,complex_expr,146
generate-less,complex_expr,133
bidirectional+generate-less,complex_expr,142
remove-redundant-parts+generate-less,complex_expr,150
bidirectional+remove-redundant-parts+generate-less,complex_expr,140
remove-redundant-sets+generate-less,complex_expr,137
bidirectional+remove-redundant-sets+generate-less,complex_expr,138
remove-redundant-parts+remove-redundant-sets+generate-less,complex_expr,141
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less,complex_expr,150
smart-kleene-order,complex_expr,135
