mode,example,elapsed_ms
regular,data_flow.json,846
bidirectional,data_flow.json,481
remove-redundant-parts,data_flow.json,543
bidirectional+remove-redundant-parts,data_flow.json,490
remove-redundant-sets,data_flow.json,455
bidirectional+remove-redundant-sets,data_flow.json,464
remove-redundant-parts+remove-redundant-sets,data_flow.json,472
bidirectional+remove-redundant-parts+remove-redundant-sets,data_flow.json,484
generate-less,data_flow.json,471
bidirectional+generate-less,data_flow.json,364
remove-redundant-parts+generate-less,data_flow.json,290
bidirectional+remove-redundant-parts+generate-less,data_flow.json,330
remove-redundant-sets+generate-less,data_flow.json,441
bidirectional+remove-redundant-sets+generate-less,data_flow.json,380
remove-redundant-parts+remove-redundant-sets+generate-less,data_flow.json,410
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less,data_flow.json,393
smart-kleene-order,data_flow.json,409
bidirectional+smart-kleene-order,data_flow.json,529
remove-redundant-parts+smart-kleene-order,data_flow.json,487
bidirectional+remove-redundant-parts+smart-kleene-order,data_flow.json,1363
remove-redundant-sets+smart-kleene-order,data_flow.json,1211
bidirectional+remove-redundant-sets+smart-kleene-order,data_flow.json,1378
remove-redundant-parts+remove-redundant-sets+smart-kleene-order,data_flow.json,1303
bidirectional+remove-redundant-parts+remove-redundant-sets+smart-kleene-order,data_flow.json,1313
generate-less+smart-kleene-order,data_flow.json,1257
bidirectional+generate-less+smart-kleene-order,data_flow.json,1269
remove-redundant-parts+generate-less+smart-kleene-order,data_flow.json,1389
bidirectional+remove-redundant-parts+generate-less+smart-kleene-order,data_flow.json,1360
remove-redundant-sets+generate-less+smart-kleene-order,data_flow.json,1363
bidirectional+remove-redundant-sets+generate-less+smart-kleene-order,data_flow.json,1437
remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,data_flow.json,1548
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,data_flow.json,1483
regular,login_flow.json,950
bidirectional,login_flow.json,1425
remove-redundant-parts,login_flow.json,2547
bidirectional+remove-redundant-parts,login_flow.json,1323
remove-redundant-sets,login_flow.json,584
bidirectional+remove-redundant-sets,login_flow.json,555
remove-redundant-parts+remove-redundant-sets,login_flow.json,1972
bidirectional+remove-redundant-parts+remove-redundant-sets,login_flow.json,412
generate-less,login_flow.json,171
bidirectional+generate-less,login_flow.json,222
remove-redundant-parts+generate-less,login_flow.json,212
bidirectional+remove-redundant-parts+generate-less,login_flow.json,220
remove-redundant-sets+generate-less,login_flow.json,191
bidirectional+remove-redundant-sets+generate-less,login_flow.json,200
