mode,example,elapsed_ms
regular,arithmetic,85
bidirectional,arithmetic,83
remove-redundant-parts,arithmetic,85
bidirectional+remove-redundant-parts,arithmetic,87
remove-redundant-sets,arithmetic,82
bidirectional+remove-redundant-sets,arithmetic,90
remove-redundant-parts+remove-redundant-sets,arithmetic,82
bidirectional+remove-redundant-parts+remove-redundant-sets,arithmetic,86
generate-less,arithmetic,85
bidirectional+generate-less,arithmetic,83
remove-redundant-parts+generate-less,arithmetic,91
bidirectional+remove-redundant-parts+generate-less,arithmetic,82
remove-redundant-sets+generate-less,arithmetic,86
bidirectional+remove-redundant-sets+generate-less,arithmetic,88
remove-redundant-parts+remove-redundant-sets+generate-less,arithmetic,84
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less,arithmetic,88
smart-kleene-order,arithmetic,83
bidirectional+smart-kleene-order,arithmetic,87
remove-redundant-parts+smart-kleene-order,arithmetic,82
bidirectional+remove-redundant-parts+smart-kleene-order,arithmetic,83
remove-redundant-sets+smart-kleene-order,arithmetic,82
bidirectional+remove-redundant-sets+smart-kleene-order,arithmetic,91
remove-redundant-parts+remove-redundant-sets+smart-kleene-order,arithmetic,82
bidirectional+remove-redundant-parts+remove-redundant-sets+smart-kleene-order,arithmetic,86
generate-less+smart-kleene-order,arithmetic,87
bidirectional+generate-less+smart-kleene-order,arithmetic,83
remove-redundant-parts+generate-less+smart-kleene-order,arithmetic,82
bidirectional+remove-redundant-parts+generate-less+smart-kleene-order,arithmetic,83
remove-redundant-sets+generate-less+smart-kleene-order,arithmetic,90
bidirectional+remove-redundant-sets+generate-less+smart-kleene-order,arithmetic,87
remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,arithmetic,86
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,arithmetic,92
regular,bank,30104
bidirectional,bank,30017
remove-redundant-parts,bank,30100
bidirectional+remove-redundant-parts,bank,30019
remove-redundant-sets,bank,30018
bidirectional+remove-redundant-sets,bank,30024
remove-redundant-parts+remove-redundant-sets,bank,30105
bidirectional+remove-redundant-parts+remove-redundant-sets,bank,30022
generate-less,bank,13661
bidirectional+generate-less,bank,31056
remove-redundant-parts+generate-less,bank,30887
bidirectional+remove-redundant-parts+generate-less,bank,2669
remove-redundant-sets+generate-less,bank,12866
bidirectional+remove-redundant-sets+generate-less,bank,30532
remove-redundant-parts+remove-redundant-sets+generate-less,bank,26335
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less,bank,30530
smart-kleene-order,bank,30091
bidirectional+smart-kleene-order,bank,30019
remove-redundant-parts+smart-kleene-order,bank,30092
bidirectional+remove-redundant-parts+smart-kleene-order,bank,30019
remove-redundant-sets+smart-kleene-order,bank,30095
bidirectional+remove-redundant-sets+smart-kleene-order,bank,30024
remove-redundant-parts+remove-redundant-sets+smart-kleene-order,bank,30084
bidirectional+remove-redundant-parts+remove-redundant-sets+smart-kleene-order,bank,30032
generate-less+smart-kleene-order,bank,30346
bidirectional+generate-less+smart-kleene-order,bank,30613
remove-redundant-parts+generate-less+smart-kleene-order,bank,27504
bidirectional+remove-redundant-parts+generate-less+smart-kleene-order,bank,30828
remove-redundant-sets+generate-less+smart-kleene-order,bank,30586
bidirectional+remove-redundant-sets+generate-less+smart-kleene-order,bank,2677
remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,bank,30518
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,bank,2566
regular,bank_without_yields,30014
bidirectional,bank_without_yields,30016
remove-redundant-parts,bank_without_yields,30014
bidirectional+remove-redundant-parts,bank_without_yields,30016
remove-redundant-sets,bank_without_yields,30019
bidirectional+remove-redundant-sets,bank_without_yields,30013
remove-redundant-parts+remove-redundant-sets,bank_without_yields,30022
bidirectional+remove-redundant-parts+remove-redundant-sets,bank_without_yields,30028
generate-less,bank_without_yields,30801
bidirectional+generate-less,bank_without_yields,31265
remove-redundant-parts+generate-less,bank_without_yields,31022
bidirectional+remove-redundant-parts+generate-less,bank_without_yields,15447
remove-redundant-sets+generate-less,bank_without_yields,31058
bidirectional+remove-redundant-sets+generate-less,bank_without_yields,182
remove-redundant-parts+remove-redundant-sets+generate-less,bank_without_yields,178
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less,bank_without_yields,30621
smart-kleene-order,bank_without_yields,30014
bidirectional+smart-kleene-order,bank_without_yields,30019
remove-redundant-parts+smart-kleene-order,bank_without_yields,30015
bidirectional+remove-redundant-parts+smart-kleene-order,bank_without_yields,30013
remove-redundant-sets+smart-kleene-order,bank_without_yields,30017
bidirectional+remove-redundant-sets+smart-kleene-order,bank_without_yields,30022
remove-redundant-parts+remove-redundant-sets+smart-kleene-order,bank_without_yields,30021
bidirectional+remove-redundant-parts+remove-redundant-sets+smart-kleene-order,bank_without_yields,30016
generate-less+smart-kleene-order,bank_without_yields,30536
bidirectional+generate-less+smart-kleene-order,bank_without_yields,31386
remove-redundant-parts+generate-less+smart-kleene-order,bank_without_yields,201
bidirectional+remove-redundant-parts+generate-less+smart-kleene-order,bank_without_yields,15178
remove-redundant-sets+generate-less+smart-kleene-order,bank_without_yields,30937
bidirectional+remove-redundant-sets+generate-less+smart-kleene-order,bank_without_yields,308
remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,bank_without_yields,201
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,bank_without_yields,30984
regular,BGP_routing,26569
bidirectional,BGP_routing,30005
remove-redundant-parts,BGP_routing,21870
bidirectional+remove-redundant-parts,BGP_routing,30005
remove-redundant-sets,BGP_routing,30084
bidirectional+remove-redundant-sets,BGP_routing,30004
remove-redundant-parts+remove-redundant-sets,BGP_routing,19593
bidirectional+remove-redundant-parts+remove-redundant-sets,BGP_routing,30005
generate-less,BGP_routing,30228
bidirectional+generate-less,BGP_routing,30043
remove-redundant-parts+generate-less,BGP_routing,30238
bidirectional+remove-redundant-parts+generate-less,BGP_routing,30082
remove-redundant-sets+generate-less,BGP_routing,30046
bidirectional+remove-redundant-sets+generate-less,BGP_routing,30231
remove-redundant-parts+remove-redundant-sets+generate-less,BGP_routing,30045
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less,BGP_routing,30226
smart-kleene-order,BGP_routing,19209
bidirectional+smart-kleene-order,BGP_routing,30005
remove-redundant-parts+smart-kleene-order,BGP_routing,28178
bidirectional+remove-redundant-parts+smart-kleene-order,BGP_routing,30181
remove-redundant-sets+smart-kleene-order,BGP_routing,25787
bidirectional+remove-redundant-sets+smart-kleene-order,BGP_routing,30005
remove-redundant-parts+remove-redundant-sets+smart-kleene-order,BGP_routing,30084
bidirectional+remove-redundant-parts+remove-redundant-sets+smart-kleene-order,BGP_routing,30005
generate-less+smart-kleene-order,BGP_routing,30253
bidirectional+generate-less+smart-kleene-order,BGP_routing,30259
remove-redundant-parts+generate-less+smart-kleene-order,BGP_routing,30280
bidirectional+remove-redundant-parts+generate-less+smart-kleene-order,BGP_routing,30070
remove-redundant-sets+generate-less+smart-kleene-order,BGP_routing,30260
bidirectional+remove-redundant-sets+generate-less+smart-kleene-order,BGP_routing,30283
remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,BGP_routing,30084
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,BGP_routing,30050
regular,boolean_ops,85
bidirectional,boolean_ops,88
remove-redundant-parts,boolean_ops,83
bidirectional+remove-redundant-parts,boolean_ops,82
remove-redundant-sets,boolean_ops,85
bidirectional+remove-redundant-sets,boolean_ops,89
remove-redundant-parts+remove-redundant-sets,boolean_ops,86
bidirectional+remove-redundant-parts+remove-redundant-sets,boolean_ops,79
generate-less,boolean_ops,83
bidirectional+generate-less,boolean_ops,81
remove-redundant-parts+generate-less,boolean_ops,82
bidirectional+remove-redundant-parts+generate-less,boolean_ops,84
remove-redundant-sets+generate-less,boolean_ops,85
bidirectional+remove-redundant-sets+generate-less,boolean_ops,89
remove-redundant-parts+remove-redundant-sets+generate-less,boolean_ops,91
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less,boolean_ops,85
smart-kleene-order,boolean_ops,88
bidirectional+smart-kleene-order,boolean_ops,87
remove-redundant-parts+smart-kleene-order,boolean_ops,85
bidirectional+remove-redundant-parts+smart-kleene-order,boolean_ops,86
remove-redundant-sets+smart-kleene-order,boolean_ops,86
bidirectional+remove-redundant-sets+smart-kleene-order,boolean_ops,89
remove-redundant-parts+remove-redundant-sets+smart-kleene-order,boolean_ops,86
bidirectional+remove-redundant-parts+remove-redundant-sets+smart-kleene-order,boolean_ops,90
generate-less+smart-kleene-order,boolean_ops,80
bidirectional+generate-less+smart-kleene-order,boolean_ops,86
remove-redundant-parts+generate-less+smart-kleene-order,boolean_ops,82
bidirectional+remove-redundant-parts+generate-less+smart-kleene-order,boolean_ops,85
remove-redundant-sets+generate-less+smart-kleene-order,boolean_ops,85
bidirectional+remove-redundant-sets+generate-less+smart-kleene-order,boolean_ops,84
remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,boolean_ops,86
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,boolean_ops,87
regular,complex_expr,85
bidirectional,complex_expr,86
remove-redundant-parts,complex_expr,85
bidirectional+remove-redundant-parts,complex_expr,79
remove-redundant-sets,complex_expr,85
bidirectional+remove-redundant-sets,complex_expr,83
remove-redundant-parts+remove-redundant-sets,complex_expr,87
bidirectional+remove-redundant-parts+remove-redundant-sets,complex_expr,82
generate-less,complex_expr,85
bidirectional+generate-less,complex_expr,81
remove-redundant-parts+generate-less,complex_expr,80
bidirectional+remove-redundant-parts+generate-less,complex_expr,84
remove-redundant-sets+generate-less,complex_expr,85
bidirectional+remove-redundant-sets+generate-less,complex_expr,80
remove-redundant-parts+remove-redundant-sets+generate-less,complex_expr,84
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less,complex_expr,84
smart-kleene-order,complex_expr,83
bidirectional+smart-kleene-order,complex_expr,81
remove-redundant-parts+smart-kleene-order,complex_expr,81
bidirectional+remove-redundant-parts+smart-kleene-order,complex_expr,81
remove-redundant-sets+smart-kleene-order,complex_expr,83
bidirectional+remove-redundant-sets+smart-kleene-order,complex_expr,81
remove-redundant-parts+remove-redundant-sets+smart-kleene-order,complex_expr,86
bidirectional+remove-redundant-parts+remove-redundant-sets+smart-kleene-order,complex_expr,83
generate-less+smart-kleene-order,complex_expr,89
bidirectional+generate-less+smart-kleene-order,complex_expr,80
remove-redundant-parts+generate-less+smart-kleene-order,complex_expr,85
bidirectional+remove-redundant-parts+generate-less+smart-kleene-order,complex_expr,87
remove-redundant-sets+generate-less+smart-kleene-order,complex_expr,89
bidirectional+remove-redundant-sets+generate-less+smart-kleene-order,complex_expr,82
remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,complex_expr,84
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,complex_expr,85
regular,complex_while_with_yields,30003
bidirectional,complex_while_with_yields,30003
remove-redundant-parts,complex_while_with_yields,30004
bidirectional+remove-redundant-parts,complex_while_with_yields,30003
remove-redundant-sets,complex_while_with_yields,30004
bidirectional+remove-redundant-sets,complex_while_with_yields,30003
remove-redundant-parts+remove-redundant-sets,complex_while_with_yields,30003
bidirectional+remove-redundant-parts+remove-redundant-sets,complex_while_with_yields,30003
generate-less,complex_while_with_yields,30004
bidirectional+generate-less,complex_while_with_yields,30003
remove-redundant-parts+generate-less,complex_while_with_yields,30003
bidirectional+remove-redundant-parts+generate-less,complex_while_with_yields,30005
remove-redundant-sets+generate-less,complex_while_with_yields,30004
