mode,example,elapsed_ms
regular,data_flow.json,967
bidirectional,data_flow.json,981
remove-redundant-parts,data_flow.json,1058
bidirectional+remove-redundant-parts,data_flow.json,1119
remove-redundant-sets,data_flow.json,1067
bidirectional+remove-redundant-sets,data_flow.json,1223
remove-redundant-parts+remove-redundant-sets,data_flow.json,1097
bidirectional+remove-redundant-parts+remove-redundant-sets,data_flow.json,1167
generate-less,data_flow.json,1075
bidirectional+generate-less,data_flow.json,1101
remove-redundant-parts+generate-less,data_flow.json,1270
bidirectional+remove-redundant-parts+generate-less,data_flow.json,1307
remove-redundant-sets+generate-less,data_flow.json,1217
bidirectional+remove-redundant-sets+generate-less,data_flow.json,1230
remove-redundant-parts+remove-redundant-sets+generate-less,data_flow.json,1174
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less,data_flow.json,1091
smart-kleene-order,data_flow.json,1040
bidirectional+smart-kleene-order,data_flow.json,1118
remove-redundant-parts+smart-kleene-order,data_flow.json,1191
bidirectional+remove-redundant-parts+smart-kleene-order,data_flow.json,1154
remove-redundant-sets+smart-kleene-order,data_flow.json,1139
bidirectional+remove-redundant-sets+smart-kleene-order,data_flow.json,1200
remove-redundant-parts+remove-redundant-sets+smart-kleene-order,data_flow.json,1203
bidirectional+remove-redundant-parts+remove-redundant-sets+smart-kleene-order,data_flow.json,1099
generate-less+smart-kleene-order,data_flow.json,1028
bidirectional+generate-less+smart-kleene-order,data_flow.json,1065
remove-redundant-parts+generate-less+smart-kleene-order,data_flow.json,1071
bidirectional+remove-redundant-parts+generate-less+smart-kleene-order,data_flow.json,1111
remove-redundant-sets+generate-less+smart-kleene-order,data_flow.json,1017
bidirectional+remove-redundant-sets+generate-less+smart-kleene-order,data_flow.json,1136
remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,data_flow.json,1070
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,data_flow.json,1065
regular,login_flow.json,1160
bidirectional,login_flow.json,940
remove-redundant-parts,login_flow.json,1664
bidirectional+remove-redundant-parts,login_flow.json,1299
remove-redundant-sets,login_flow.json,989
bidirectional+remove-redundant-sets,login_flow.json,1149
remove-redundant-parts+remove-redundant-sets,login_flow.json,1297
bidirectional+remove-redundant-parts+remove-redundant-sets,login_flow.json,1336
generate-less,login_flow.json,158
bidirectional+generate-less,login_flow.json,124
remove-redundant-parts+generate-less,login_flow.json,128
bidirectional+remove-redundant-parts+generate-less,login_flow.json,139
remove-redundant-sets+generate-less,login_flow.json,164
bidirectional+remove-redundant-sets+generate-less,login_flow.json,168
remove-redundant-parts+remove-redundant-sets+generate-less,login_flow.json,154
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less,login_flow.json,150
smart-kleene-order,login_flow.json,1237
bidirectional+smart-kleene-order,login_flow.json,1223
remove-redundant-parts+smart-kleene-order,login_flow.json,1763
bidirectional+remove-redundant-parts+smart-kleene-order,login_flow.json,1433
remove-redundant-sets+smart-kleene-order,login_flow.json,1165
bidirectional+remove-redundant-sets+smart-kleene-order,login_flow.json,1174
remove-redundant-parts+remove-redundant-sets+smart-kleene-order,login_flow.json,1834
bidirectional+remove-redundant-parts+remove-redundant-sets+smart-kleene-order,login_flow.json,1187
generate-less+smart-kleene-order,login_flow.json,152
bidirectional+generate-less+smart-kleene-order,login_flow.json,142
remove-redundant-parts+generate-less+smart-kleene-order,login_flow.json,161
bidirectional+remove-redundant-parts+generate-less+smart-kleene-order,login_flow.json,139
remove-redundant-sets+generate-less+smart-kleene-order,login_flow.json,119
bidirectional+remove-redundant-sets+generate-less+smart-kleene-order,login_flow.json,145
remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,login_flow.json,134
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,login_flow.json,126
regular,shopping_cart.json,2966
bidirectional,shopping_cart.json,2937
remove-redundant-parts,shopping_cart.json,62543
bidirectional+remove-redundant-parts,shopping_cart.json,62770
remove-redundant-sets,shopping_cart.json,1998
bidirectional+remove-redundant-sets,shopping_cart.json,3012
remove-redundant-parts+remove-redundant-sets,shopping_cart.json,177
bidirectional+remove-redundant-parts+remove-redundant-sets,shopping_cart.json,189
generate-less,shopping_cart.json,280
bidirectional+generate-less,shopping_cart.json,3145
remove-redundant-parts+generate-less,shopping_cart.json,2543
bidirectional+remove-redundant-parts+generate-less,shopping_cart.json,3234
remove-redundant-sets+generate-less,shopping_cart.json,2827
bidirectional+remove-redundant-sets+generate-less,shopping_cart.json,3325
remove-redundant-parts+remove-redundant-sets+generate-less,shopping_cart.json,364
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less,shopping_cart.json,296
smart-kleene-order,shopping_cart.json,3322
bidirectional+smart-kleene-order,shopping_cart.json,2451
remove-redundant-parts+smart-kleene-order,shopping_cart.json,62620
bidirectional+remove-redundant-parts+smart-kleene-order,shopping_cart.json,62579
remove-redundant-sets+smart-kleene-order,shopping_cart.json,4393
bidirectional+remove-redundant-sets+smart-kleene-order,shopping_cart.json,4765
remove-redundant-parts+remove-redundant-sets+smart-kleene-order,shopping_cart.json,206
bidirectional+remove-redundant-parts+remove-redundant-sets+smart-kleene-order,shopping_cart.json,180
generate-less+smart-kleene-order,shopping_cart.json,3018
bidirectional+generate-less+smart-kleene-order,shopping_cart.json,3508
remove-redundant-parts+generate-less+smart-kleene-order,shopping_cart.json,314
bidirectional+remove-redundant-parts+generate-less+smart-kleene-order,shopping_cart.json,312
