mode,example,elapsed_ms
regular,arithmetic,84
without-bidirectional,arithmetic,81
without-remove-redundant-parts,arithmetic,83
without-remove-redundant-sets,arithmetic,83
without-generate-less,arithmetic,86
without-smart-kleene-order,arithmetic,84
regular,bank,60026
without-bidirectional,bank,60020
without-remove-redundant-parts,bank,60094
without-remove-redundant-sets,bank,60030
without-generate-less,bank,2992
without-smart-kleene-order,bank,60057
regular,bank_without_yields,60015
without-bidirectional,bank_without_yields,60015
without-remove-redundant-parts,bank_without_yields,60018
without-remove-redundant-sets,bank_without_yields,60019
without-generate-less,bank_without_yields,61060
without-smart-kleene-order,bank_without_yields,60017
regular,BGP_routing,25119
without-bidirectional,BGP_routing,60257
without-remove-redundant-parts,BGP_routing,27030
without-remove-redundant-sets,BGP_routing,27643
without-generate-less,BGP_routing,60176
without-smart-kleene-order,BGP_routing,44119
regular,boolean_ops,93
without-bidirectional,boolean_ops,90
without-remove-redundant-parts,boolean_ops,91
without-remove-redundant-sets,boolean_ops,91
without-generate-less,boolean_ops,91
without-smart-kleene-order,boolean_ops,90
regular,complex_expr,89
without-bidirectional,complex_expr,94
without-remove-redundant-parts,complex_expr,94
without-remove-redundant-sets,complex_expr,92
without-generate-less,complex_expr,95
without-smart-kleene-order,complex_expr,96
regular,complex_while_with_yields,60003
without-bidirectional,complex_while_with_yields,60004
without-remove-redundant-parts,complex_while_with_yields,60003
without-remove-redundant-sets,complex_while_with_yields,60003
without-generate-less,complex_while_with_yields,60004
without-smart-kleene-order,complex_while_with_yields,60004
regular,equality_check,91
without-bidirectional,equality_check,86
without-remove-redundant-parts,equality_check,88
without-remove-redundant-sets,equality_check,88
without-generate-less,equality_check,87
without-smart-kleene-order,equality_check,88
regular,ex,347
without-bidirectional,ex,348
without-remove-redundant-parts,ex,349
without-remove-redundant-sets,ex,352
without-generate-less,ex,354
without-smart-kleene-order,ex,358
regular,flag_non_ser,612
without-bidirectional,flag_non_ser,60003
without-remove-redundant-parts,flag_non_ser,726
without-remove-redundant-sets,flag_non_ser,647
without-generate-less,flag_non_ser,642
without-smart-kleene-order,flag_non_ser,635
regular,flag_non_ser_turned_ser,97
without-bidirectional,flag_non_ser_turned_ser,97
without-remove-redundant-parts,flag_non_ser_turned_ser,103
without-remove-redundant-sets,flag_non_ser_turned_ser,96
without-generate-less,flag_non_ser_turned_ser,98
without-smart-kleene-order,flag_non_ser_turned_ser,97
regular,fred2_arith,60004
without-bidirectional,fred2_arith,2531
without-remove-redundant-parts,fred2_arith,60004
without-remove-redundant-sets,fred2_arith,60004
without-generate-less,fred2_arith,60004
without-smart-kleene-order,fred2_arith,60004
regular,fred2,60004
without-bidirectional,fred2,60003
without-remove-redundant-parts,fred2,60004
without-remove-redundant-sets,fred2,60004
without-generate-less,fred2,60004
without-smart-kleene-order,fred2,60003
regular,fred_arith,6943
without-bidirectional,fred_arith,60003
without-remove-redundant-parts,fred_arith,6651
without-remove-redundant-sets,fred_arith,6212
without-generate-less,fred_arith,7857
without-smart-kleene-order,fred_arith,5687
regular,fred_arith_simplified_until_1,1424
without-bidirectional,fred_arith_simplified_until_1,1477
without-remove-redundant-parts,fred_arith_simplified_until_1,1435
without-remove-redundant-sets,fred_arith_simplified_until_1,1487
without-generate-less,fred_arith_simplified_until_1,1484
without-smart-kleene-order,fred_arith_simplified_until_1,1429
regular,fred_arith_simplified_until_2,3081
without-bidirectional,fred_arith_simplified_until_2,60003
without-remove-redundant-parts,fred_arith_simplified_until_2,3452
without-remove-redundant-sets,fred_arith_simplified_until_2,3248
without-generate-less,fred_arith_simplified_until_2,3037
without-smart-kleene-order,fred_arith_simplified_until_2,3050
regular,fred_arith_tricky2,643
without-bidirectional,fred_arith_tricky2,1340
without-remove-redundant-parts,fred_arith_tricky2,697
without-remove-redundant-sets,fred_arith_tricky2,682
without-generate-less,fred_arith_tricky2,629
without-smart-kleene-order,fred_arith_tricky2,692
regular,fred_arith_tricky3,752
without-bidirectional,fred_arith_tricky3,1805
without-remove-redundant-parts,fred_arith_tricky3,718
without-remove-redundant-sets,fred_arith_tricky3,818
without-generate-less,fred_arith_tricky3,726
without-smart-kleene-order,fred_arith_tricky3,762
regular,fred_arith_tricky,37111
without-bidirectional,fred_arith_tricky,7607
without-remove-redundant-parts,fred_arith_tricky,25262
without-remove-redundant-sets,fred_arith_tricky,36765
without-generate-less,fred_arith_tricky,23057
without-smart-kleene-order,fred_arith_tricky,45012
regular,fred,5892
without-bidirectional,fred,60004
without-remove-redundant-parts,fred,6260
without-remove-redundant-sets,fred,6436
without-generate-less,fred,8035
without-smart-kleene-order,fred,5623
regular,funny,385
without-bidirectional,funny,409
without-remove-redundant-parts,funny,414
without-remove-redundant-sets,funny,407
without-generate-less,funny,412
without-smart-kleene-order,funny,416
regular,globals,346
without-bidirectional,globals,355
without-remove-redundant-parts,globals,344
without-remove-redundant-sets,globals,357
without-generate-less,globals,351
without-smart-kleene-order,globals,336
regular,if_expr,80
without-bidirectional,if_expr,83
without-remove-redundant-parts,if_expr,80
without-remove-redundant-sets,if_expr,85
without-generate-less,if_expr,82
without-smart-kleene-order,if_expr,81
regular,if_while,86
without-bidirectional,if_while,82
without-remove-redundant-parts,if_while,81
without-remove-redundant-sets,if_while,86
without-generate-less,if_while,89
without-smart-kleene-order,if_while,84
regular,incrdecr,3052
without-bidirectional,incrdecr,60003
without-remove-redundant-parts,incrdecr,3558
without-remove-redundant-sets,incrdecr,3312
without-generate-less,incrdecr,3241
without-smart-kleene-order,incrdecr,3222
regular,less_simple_ser,1782
without-bidirectional,less_simple_ser,2028
without-remove-redundant-parts,less_simple_ser,1800
without-remove-redundant-sets,less_simple_ser,3233
without-generate-less,less_simple_ser,405
without-smart-kleene-order,less_simple_ser,1822
regular,mixed_expr,86
without-bidirectional,mixed_expr,87
without-remove-redundant-parts,mixed_expr,85
without-remove-redundant-sets,mixed_expr,85
without-generate-less,mixed_expr,91
without-smart-kleene-order,mixed_expr,86
regular,modulo_nonser,519
without-bidirectional,modulo_nonser,25931
without-remove-redundant-parts,modulo_nonser,520
without-remove-redundant-sets,modulo_nonser,2366
without-generate-less,modulo_nonser,50872
without-smart-kleene-order,modulo_nonser,536
regular,multiple_requests,528
without-bidirectional,multiple_requests,546
without-remove-redundant-parts,multiple_requests,516
without-remove-redundant-sets,multiple_requests,521
without-generate-less,multiple_requests,523
without-smart-kleene-order,multiple_requests,534
regular,multiple_vars,80
without-bidirectional,multiple_vars,80
without-remove-redundant-parts,multiple_vars,79
without-remove-redundant-sets,multiple_vars,80
without-generate-less,multiple_vars,81
without-smart-kleene-order,multiple_vars,80
regular,nested_while,82
without-bidirectional,nested_while,82
without-remove-redundant-parts,nested_while,82
without-remove-redundant-sets,nested_while,78
without-generate-less,nested_while,83
without-smart-kleene-order,nested_while,101
regular,nondet2,5632
without-bidirectional,nondet2,5363
without-remove-redundant-parts,nondet2,6323
without-remove-redundant-sets,nondet2,6177
without-generate-less,nondet2,6220
without-smart-kleene-order,nondet2,6591
regular,nondet_impl2,1182
without-bidirectional,nondet_impl2,1318
without-remove-redundant-parts,nondet_impl2,1183
without-remove-redundant-sets,nondet_impl2,1218
without-generate-less,nondet_impl2,1207
without-smart-kleene-order,nondet_impl2,1189
regular,nondet_impl,646
without-bidirectional,nondet_impl,795
without-remove-redundant-parts,nondet_impl,638
without-remove-redundant-sets,nondet_impl,627
without-generate-less,nondet_impl,567
without-smart-kleene-order,nondet_impl,572
regular,nondet,304
without-bidirectional,nondet,325
without-remove-redundant-parts,nondet,298
without-remove-redundant-sets,nondet,302
without-generate-less,nondet,305
without-smart-kleene-order,nondet,300
regular,seq_expr,83
without-bidirectional,seq_expr,80
without-remove-redundant-parts,seq_expr,81
without-remove-redundant-sets,seq_expr,80
without-generate-less,seq_expr,80
without-smart-kleene-order,seq_expr,79
regular,simple_assign,79
without-bidirectional,simple_assign,81
without-remove-redundant-parts,simple_assign,78
without-remove-redundant-sets,simple_assign,81
without-generate-less,simple_assign,81
without-smart-kleene-order,simple_assign,82
regular,simple_nonser2_minus_yields_is_ser,82
without-bidirectional,simple_nonser2_minus_yields_is_ser,82
without-remove-redundant-parts,simple_nonser2_minus_yields_is_ser,79
without-remove-redundant-sets,simple_nonser2_minus_yields_is_ser,81
without-generate-less,simple_nonser2_minus_yields_is_ser,82
without-smart-kleene-order,simple_nonser2_minus_yields_is_ser,82
regular,simple_nonser2,348
without-bidirectional,simple_nonser2,366
without-remove-redundant-parts,simple_nonser2,365
without-remove-redundant-sets,simple_nonser2,357
without-generate-less,simple_nonser2,356
without-smart-kleene-order,simple_nonser2,387
regular,simple_nonser2_turned_ser_with_locks,335
without-bidirectional,simple_nonser2_turned_ser_with_locks,329
without-remove-redundant-parts,simple_nonser2_turned_ser_with_locks,341
without-remove-redundant-sets,simple_nonser2_turned_ser_with_locks,344
without-generate-less,simple_nonser2_turned_ser_with_locks,325
without-smart-kleene-order,simple_nonser2_turned_ser_with_locks,333
regular,simple_nonser3,422
without-bidirectional,simple_nonser3,402
without-remove-redundant-parts,simple_nonser3,412
without-remove-redundant-sets,simple_nonser3,405
without-generate-less,simple_nonser3,455
without-smart-kleene-order,simple_nonser3,395
regular,simple_nonser,664
without-bidirectional,simple_nonser,791
without-remove-redundant-parts,simple_nonser,647
without-remove-redundant-sets,simple_nonser,662
without-generate-less,simple_nonser,674
without-smart-kleene-order,simple_nonser,654
regular,simple_ser,78
without-bidirectional,simple_ser,80
without-remove-redundant-parts,simple_ser,81
without-remove-redundant-sets,simple_ser,81
without-generate-less,simple_ser,81
without-smart-kleene-order,simple_ser,81
regular,snapshot_isolation_network_monitoring,7621
without-bidirectional,snapshot_isolation_network_monitoring,21445
