bidirectional ON,remove-redundant ON,generate-less ON,smart-kleene-order ON,benchmark,type,timeout_ms,time_ms,terminated
1,1,1,1,arithmetic,ser,30000,91,1
0,1,1,1,arithmetic,ser,30000,87,1
1,0,1,1,arithmetic,ser,30000,91,1
0,0,1,1,arithmetic,ser,30000,88,1
1,1,0,1,arithmetic,ser,30000,94,1
0,1,0,1,arithmetic,ser,30000,94,1
1,0,0,1,arithmetic,ser,30000,91,1
0,0,0,1,arithmetic,ser,30000,89,1
1,1,1,0,arithmetic,ser,30000,88,1
0,1,1,0,arithmetic,ser,30000,93,1
1,0,1,0,arithmetic,ser,30000,118,1
0,0,1,0,arithmetic,ser,30000,115,1
1,1,0,0,arithmetic,ser,30000,108,1
0,1,0,0,arithmetic,ser,30000,110,1
1,0,0,0,arithmetic,ser,30000,87,1
0,0,0,0,arithmetic,ser,30000,90,1
1,1,1,1,bank,ser,30000,4060,1
0,1,1,1,bank,ser,30000,4829,1
1,0,1,1,bank,ser,30000,9206,1
0,0,1,1,bank,ser,30000,8960,1
1,1,0,1,bank,ser,30000,4115,1
0,1,0,1,bank,ser,30000,30610,0
1,0,0,1,bank,ser,30000,30770,0
0,0,0,1,bank,ser,30000,3122,1
1,1,1,0,bank,ser,30000,7091,1
0,1,1,0,bank,ser,30000,5163,1
1,0,1,0,bank,ser,30000,7247,1
0,0,1,0,bank,ser,30000,5916,1
1,1,0,0,bank,ser,30000,5358,1
0,1,0,0,bank,ser,30000,16337,1
1,0,0,0,bank,ser,30000,4998,1
0,0,0,0,bank,ser,30000,23578,1
1,1,1,1,bank_without_yields,ser,30000,1220,1
0,1,1,1,bank_without_yields,ser,30000,1203,1
1,0,1,1,bank_without_yields,ser,30000,1043,1
0,0,1,1,bank_without_yields,ser,30000,2499,1
1,1,0,1,bank_without_yields,ser,30000,8450,1
0,1,0,1,bank_without_yields,ser,30000,13461,1
1,0,0,1,bank_without_yields,ser,30000,334,1
0,0,0,1,bank_without_yields,ser,30000,31738,0
1,1,1,0,bank_without_yields,ser,30000,1137,1
0,1,1,0,bank_without_yields,ser,30000,1283,1
1,0,1,0,bank_without_yields,ser,30000,1077,1
0,0,1,0,bank_without_yields,ser,30000,1862,1
1,1,0,0,bank_without_yields,ser,30000,31113,0
0,1,0,0,bank_without_yields,ser,30000,208,1
1,0,0,0,bank_without_yields,ser,30000,30736,0
0,0,0,0,bank_without_yields,ser,30000,31956,0
1,1,1,1,BGP_routing,ser,30000,841,1
0,1,1,1,BGP_routing,ser,30000,728,1
1,0,1,1,BGP_routing,ser,30000,600,1
0,0,1,1,BGP_routing,ser,30000,553,1
1,1,0,1,BGP_routing,ser,30000,30127,0
0,1,0,1,BGP_routing,ser,30000,30114,0
1,0,0,1,BGP_routing,ser,30000,30076,0
0,0,0,1,BGP_routing,ser,30000,30322,0
1,1,1,0,BGP_routing,ser,30000,983,1
0,1,1,0,BGP_routing,ser,30000,754,1
1,0,1,0,BGP_routing,ser,30000,533,1
0,0,1,0,BGP_routing,ser,30000,501,1
1,1,0,0,BGP_routing,ser,30000,30040,0
0,1,0,0,BGP_routing,ser,30000,30057,0
1,0,0,0,BGP_routing,ser,30000,30278,0
0,0,0,0,BGP_routing,ser,30000,30034,0
1,1,1,1,boolean_ops,ser,30000,113,1
0,1,1,1,boolean_ops,ser,30000,111,1
1,0,1,1,boolean_ops,ser,30000,101,1
0,0,1,1,boolean_ops,ser,30000,105,1
1,1,0,1,boolean_ops,ser,30000,98,1
0,1,0,1,boolean_ops,ser,30000,102,1
1,0,0,1,boolean_ops,ser,30000,91,1
0,0,0,1,boolean_ops,ser,30000,96,1
1,1,1,0,boolean_ops,ser,30000,96,1
0,1,1,0,boolean_ops,ser,30000,101,1
1,0,1,0,boolean_ops,ser,30000,92,1
0,0,1,0,boolean_ops,ser,30000,94,1
1,1,0,0,boolean_ops,ser,30000,113,1
0,1,0,0,boolean_ops,ser,30000,107,1
1,0,0,0,boolean_ops,ser,30000,124,1
0,0,0,0,boolean_ops,ser,30000,122,1
1,1,1,1,complex_expr,ser,30000,111,1
0,1,1,1,complex_expr,ser,30000,116,1
1,0,1,1,complex_expr,ser,30000,120,1
0,0,1,1,complex_expr,ser,30000,111,1
1,1,0,1,complex_expr,ser,30000,122,1
0,1,0,1,complex_expr,ser,30000,106,1
1,0,0,1,complex_expr,ser,30000,104,1
0,0,0,1,complex_expr,ser,30000,114,1
1,1,1,0,complex_expr,ser,30000,95,1
0,1,1,0,complex_expr,ser,30000,100,1
1,0,1,0,complex_expr,ser,30000,118,1
0,0,1,0,complex_expr,ser,30000,128,1
1,1,0,0,complex_expr,ser,30000,118,1
0,1,0,0,complex_expr,ser,30000,102,1
1,0,0,0,complex_expr,ser,30000,102,1
0,0,0,0,complex_expr,ser,30000,104,1
1,1,1,1,complex_while_with_yields,ser,30000,204,1
0,1,1,1,complex_while_with_yields,ser,30000,193,1
1,0,1,1,complex_while_with_yields,ser,30000,205,1
0,0,1,1,complex_while_with_yields,ser,30000,175,1
1,1,0,1,complex_while_with_yields,ser,30000,193,1
0,1,0,1,complex_while_with_yields,ser,30000,187,1
1,0,0,1,complex_while_with_yields,ser,30000,168,1
0,0,0,1,complex_while_with_yields,ser,30000,168,1
1,1,1,0,complex_while_with_yields,ser,30000,209,1
0,1,1,0,complex_while_with_yields,ser,30000,180,1
1,0,1,0,complex_while_with_yields,ser,30000,171,1
0,0,1,0,complex_while_with_yields,ser,30000,168,1
1,1,0,0,complex_while_with_yields,ser,30000,189,1
0,1,0,0,complex_while_with_yields,ser,30000,177,1
1,0,0,0,complex_while_with_yields,ser,30000,171,1
0,0,0,0,complex_while_with_yields,ser,30000,167,1
1,1,1,1,equality_check,ser,30000,92,1
0,1,1,1,equality_check,ser,30000,94,1
1,0,1,1,equality_check,ser,30000,101,1
0,0,1,1,equality_check,ser,30000,99,1
1,1,0,1,equality_check,ser,30000,92,1
0,1,0,1,equality_check,ser,30000,94,1
1,0,0,1,equality_check,ser,30000,90,1
0,0,0,1,equality_check,ser,30000,90,1
1,1,1,0,equality_check,ser,30000,94,1
0,1,1,0,equality_check,ser,30000,99,1
1,0,1,0,equality_check,ser,30000,98,1
0,0,1,0,equality_check,ser,30000,91,1
1,1,0,0,equality_check,ser,30000,98,1
0,1,0,0,equality_check,ser,30000,93,1
1,0,0,0,equality_check,ser,30000,97,1
0,0,0,0,equality_check,ser,30000,102,1
1,1,1,1,ex,ser,30000,112,1
0,1,1,1,ex,ser,30000,117,1
1,0,1,1,ex,ser,30000,122,1
0,0,1,1,ex,ser,30000,121,1
1,1,0,1,ex,ser,30000,143,1
0,1,0,1,ex,ser,30000,137,1
1,0,0,1,ex,ser,30000,117,1
0,0,0,1,ex,ser,30000,125,1
1,1,1,0,ex,ser,30000,144,1
0,1,1,0,ex,ser,30000,161,1
1,0,1,0,ex,ser,30000,133,1
0,0,1,0,ex,ser,30000,122,1
1,1,0,0,ex,ser,30000,111,1
0,1,0,0,ex,ser,30000,132,1
1,0,0,0,ex,ser,30000,109,1
0,0,0,0,ex,ser,30000,108,1
1,1,1,1,flag_non_ser,ser,30000,112,1
0,1,1,1,flag_non_ser,ser,30000,115,1
1,0,1,1,flag_non_ser,ser,30000,120,1
0,0,1,1,flag_non_ser,ser,30000,117,1
1,1,0,1,flag_non_ser,ser,30000,115,1
0,1,0,1,flag_non_ser,ser,30000,119,1
1,0,0,1,flag_non_ser,ser,30000,120,1
0,0,0,1,flag_non_ser,ser,30000,112,1
1,1,1,0,flag_non_ser,ser,30000,118,1
0,1,1,0,flag_non_ser,ser,30000,124,1
1,0,1,0,flag_non_ser,ser,30000,116,1
0,0,1,0,flag_non_ser,ser,30000,117,1
1,1,0,0,flag_non_ser,ser,30000,110,1
0,1,0,0,flag_non_ser,ser,30000,114,1
1,0,0,0,flag_non_ser,ser,30000,111,1
0,0,0,0,flag_non_ser,ser,30000,129,1
1,1,1,1,flag_non_ser_turned_ser,ser,30000,108,1
0,1,1,1,flag_non_ser_turned_ser,ser,30000,95,1
1,0,1,1,flag_non_ser_turned_ser,ser,30000,95,1
0,0,1,1,flag_non_ser_turned_ser,ser,30000,93,1
1,1,0,1,flag_non_ser_turned_ser,ser,30000,97,1
0,1,0,1,flag_non_ser_turned_ser,ser,30000,98,1
1,0,0,1,flag_non_ser_turned_ser,ser,30000,105,1
0,0,0,1,flag_non_ser_turned_ser,ser,30000,113,1
1,1,1,0,flag_non_ser_turned_ser,ser,30000,102,1
0,1,1,0,flag_non_ser_turned_ser,ser,30000,98,1
1,0,1,0,flag_non_ser_turned_ser,ser,30000,97,1
0,0,1,0,flag_non_ser_turned_ser,ser,30000,97,1
1,1,0,0,flag_non_ser_turned_ser,ser,30000,97,1
0,1,0,0,flag_non_ser_turned_ser,ser,30000,101,1
