mode,example,elapsed_ms
regular,data_flow.json,907
bidirectional,data_flow.json,1082
remove-redundant-parts,data_flow.json,1041
bidirectional+remove-redundant-parts,data_flow.json,994
remove-redundant-sets,data_flow.json,1041
bidirectional+remove-redundant-sets,data_flow.json,1110
remove-redundant-parts+remove-redundant-sets,data_flow.json,1026
bidirectional+remove-redundant-parts+remove-redundant-sets,data_flow.json,1024
generate-less,data_flow.json,903
bidirectional+generate-less,data_flow.json,1024
remove-redundant-parts+generate-less,data_flow.json,973
bidirectional+remove-redundant-parts+generate-less,data_flow.json,852
remove-redundant-sets+generate-less,data_flow.json,553
bidirectional+remove-redundant-sets+generate-less,data_flow.json,591
remove-redundant-parts+remove-redundant-sets+generate-less,data_flow.json,622
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less,data_flow.json,520
smart-kleene-order,data_flow.json,457
bidirectional+smart-kleene-order,data_flow.json,456
remove-redundant-parts+smart-kleene-order,data_flow.json,443
bidirectional+remove-redundant-parts+smart-kleene-order,data_flow.json,366
remove-redundant-sets+smart-kleene-order,data_flow.json,507
bidirectional+remove-redundant-sets+smart-kleene-order,data_flow.json,421
remove-redundant-parts+remove-redundant-sets+smart-kleene-order,data_flow.json,362
bidirectional+remove-redundant-parts+remove-redundant-sets+smart-kleene-order,data_flow.json,322
generate-less+smart-kleene-order,data_flow.json,403
bidirectional+generate-less+smart-kleene-order,data_flow.json,430
remove-redundant-parts+generate-less+smart-kleene-order,data_flow.json,386
bidirectional+remove-redundant-parts+generate-less+smart-kleene-order,data_flow.json,399
remove-redundant-sets+generate-less+smart-kleene-order,data_flow.json,392
bidirectional+remove-redundant-sets+generate-less+smart-kleene-order,data_flow.json,470
remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,data_flow.json,428
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,data_flow.json,520
regular,login_flow.json,1428
bidirectional,login_flow.json,1360
remove-redundant-parts,login_flow.json,2595
bidirectional+remove-redundant-parts,login_flow.json,2228
remove-redundant-sets,login_flow.json,1373
bidirectional+remove-redundant-sets,login_flow.json,1451
remove-redundant-parts+remove-redundant-sets,login_flow.json,1625
bidirectional+remove-redundant-parts+remove-redundant-sets,login_flow.json,1523
generate-less,login_flow.json,200
bidirectional+generate-less,login_flow.json,192
remove-redundant-parts+generate-less,login_flow.json,196
bidirectional+remove-redundant-parts+generate-less,login_flow.json,212
remove-redundant-sets+generate-less,login_flow.json,194
bidirectional+remove-redundant-sets+generate-less,login_flow.json,168
remove-redundant-parts+remove-redundant-sets+generate-less,login_flow.json,174
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less,login_flow.json,157
smart-kleene-order,login_flow.json,1703
bidirectional+smart-kleene-order,login_flow.json,1365
remove-redundant-parts+smart-kleene-order,login_flow.json,2441
bidirectional+remove-redundant-parts+smart-kleene-order,login_flow.json,2740
