mode,example,elapsed_ms
all-on,data_flow,119
without-bidirectional,data_flow,68
without-remove-redundant-parts,data_flow,69
without-bidirectional without-remove-redundant-parts,data_flow,69
without-remove-redundant-sets,data_flow,73
without-bidirectional without-remove-redundant-sets,data_flow,72
without-remove-redundant-parts without-remove-redundant-sets,data_flow,67
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,data_flow,72
without-generate-less,data_flow,73
without-bidirectional without-generate-less,data_flow,67
without-remove-redundant-parts without-generate-less,data_flow,73
without-bidirectional without-remove-redundant-parts without-generate-less,data_flow,73
without-remove-redundant-sets without-generate-less,data_flow,78
without-bidirectional without-remove-redundant-sets without-generate-less,data_flow,71
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,data_flow,70
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,data_flow,67
without-smart-kleene-order,data_flow,69
without-bidirectional without-smart-kleene-order,data_flow,71
without-remove-redundant-parts without-smart-kleene-order,data_flow,69
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,data_flow,74
without-remove-redundant-sets without-smart-kleene-order,data_flow,69
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,data_flow,69
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,data_flow,76
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,data_flow,70
without-generate-less without-smart-kleene-order,data_flow,69
without-bidirectional without-generate-less without-smart-kleene-order,data_flow,70
without-remove-redundant-parts without-generate-less without-smart-kleene-order,data_flow,76
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,data_flow,70
without-remove-redundant-sets without-generate-less without-smart-kleene-order,data_flow,68
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,data_flow,68
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,data_flow,70
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,data_flow,73
all-on,login_flow,70
without-bidirectional,login_flow,72
without-remove-redundant-parts,login_flow,76
without-bidirectional without-remove-redundant-parts,login_flow,75
without-remove-redundant-sets,login_flow,81
without-bidirectional without-remove-redundant-sets,login_flow,72
without-remove-redundant-parts without-remove-redundant-sets,login_flow,72
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,login_flow,72
without-generate-less,login_flow,82
without-bidirectional without-generate-less,login_flow,76
without-remove-redundant-parts without-generate-less,login_flow,77
without-bidirectional without-remove-redundant-parts without-generate-less,login_flow,71
without-remove-redundant-sets without-generate-less,login_flow,81
without-bidirectional without-remove-redundant-sets without-generate-less,login_flow,70
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,login_flow,68
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,login_flow,71
without-smart-kleene-order,login_flow,75
without-bidirectional without-smart-kleene-order,login_flow,67
without-remove-redundant-parts without-smart-kleene-order,login_flow,72
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,login_flow,70
without-remove-redundant-sets without-smart-kleene-order,login_flow,75
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,login_flow,71
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,login_flow,72
