mode,example,elapsed_ms
all-on,data_flow,140
without-bidirectional,data_flow,100
without-remove-redundant-parts,data_flow,100
without-bidirectional without-remove-redundant-parts,data_flow,101
without-remove-redundant-sets,data_flow,99
without-bidirectional without-remove-redundant-sets,data_flow,103
without-remove-redundant-parts without-remove-redundant-sets,data_flow,105
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,data_flow,100
without-generate-less,data_flow,105
without-bidirectional without-generate-less,data_flow,100
without-remove-redundant-parts without-generate-less,data_flow,104
without-bidirectional without-remove-redundant-parts without-generate-less,data_flow,105
without-remove-redundant-sets without-generate-less,data_flow,101
without-bidirectional without-remove-redundant-sets without-generate-less,data_flow,100
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,data_flow,99
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,data_flow,101
without-smart-kleene-order,data_flow,103
without-bidirectional without-smart-kleene-order,data_flow,98
without-remove-redundant-parts without-smart-kleene-order,data_flow,99
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,data_flow,99
without-remove-redundant-sets without-smart-kleene-order,data_flow,100
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,data_flow,101
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,data_flow,103
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,data_flow,99
without-generate-less without-smart-kleene-order,data_flow,102
without-bidirectional without-generate-less without-smart-kleene-order,data_flow,102
without-remove-redundant-parts without-generate-less without-smart-kleene-order,data_flow,105
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,data_flow,100
without-remove-redundant-sets without-generate-less without-smart-kleene-order,data_flow,100
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,data_flow,103
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,data_flow,101
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,data_flow,103
all-on,login_flow,124
without-bidirectional,login_flow,130
without-remove-redundant-parts,login_flow,554
without-bidirectional without-remove-redundant-parts,login_flow,425
without-remove-redundant-sets,login_flow,114
without-bidirectional without-remove-redundant-sets,login_flow,117
without-remove-redundant-parts without-remove-redundant-sets,login_flow,257
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,login_flow,154
without-generate-less,login_flow,84
without-bidirectional without-generate-less,login_flow,86
without-remove-redundant-parts without-generate-less,login_flow,85
without-bidirectional without-remove-redundant-parts without-generate-less,login_flow,87
without-remove-redundant-sets without-generate-less,login_flow,89
without-bidirectional without-remove-redundant-sets without-generate-less,login_flow,88
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,login_flow,82
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,login_flow,87
without-smart-kleene-order,login_flow,115
without-bidirectional without-smart-kleene-order,login_flow,119
without-remove-redundant-parts without-smart-kleene-order,login_flow,315
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,login_flow,530
without-remove-redundant-sets without-smart-kleene-order,login_flow,112
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,login_flow,120
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,login_flow,155
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,login_flow,154
without-generate-less without-smart-kleene-order,login_flow,89
without-bidirectional without-generate-less without-smart-kleene-order,login_flow,84
without-remove-redundant-parts without-generate-less without-smart-kleene-order,login_flow,83
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,login_flow,83
without-remove-redundant-sets without-generate-less without-smart-kleene-order,login_flow,83
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,login_flow,86
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,login_flow,90
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,login_flow,83
all-on,shopping_cart,175
without-bidirectional,shopping_cart,185
without-remove-redundant-parts,shopping_cart,1049
without-bidirectional without-remove-redundant-parts,shopping_cart,1048
without-remove-redundant-sets,shopping_cart,330
without-bidirectional without-remove-redundant-sets,shopping_cart,387
without-remove-redundant-parts without-remove-redundant-sets,shopping_cart,92
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,shopping_cart,90
without-generate-less,shopping_cart,1043
without-bidirectional without-generate-less,shopping_cart,1046
without-remove-redundant-parts without-generate-less,shopping_cart,1026
without-bidirectional without-remove-redundant-parts without-generate-less,shopping_cart,146
without-remove-redundant-sets without-generate-less,shopping_cart,137
without-bidirectional without-remove-redundant-sets without-generate-less,shopping_cart,160
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,shopping_cart,1034
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,shopping_cart,1027
without-smart-kleene-order,shopping_cart,188
without-bidirectional without-smart-kleene-order,shopping_cart,193
without-remove-redundant-parts without-smart-kleene-order,shopping_cart,1041
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,shopping_cart,1053
without-remove-redundant-sets without-smart-kleene-order,shopping_cart,468
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,shopping_cart,253
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,shopping_cart,97
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,shopping_cart,95
without-generate-less without-smart-kleene-order,shopping_cart,139
without-bidirectional without-generate-less without-smart-kleene-order,shopping_cart,141
without-remove-redundant-parts without-generate-less without-smart-kleene-order,shopping_cart,155
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,shopping_cart,151
without-remove-redundant-sets without-generate-less without-smart-kleene-order,shopping_cart,143
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,shopping_cart,1029
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,shopping_cart,1027
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,shopping_cart,1033
all-on,snapshot_isolation_directly_as_NS_without_yields,110
without-bidirectional,snapshot_isolation_directly_as_NS_without_yields,108
without-remove-redundant-parts,snapshot_isolation_directly_as_NS_without_yields,110
without-bidirectional without-remove-redundant-parts,snapshot_isolation_directly_as_NS_without_yields,114
without-remove-redundant-sets,snapshot_isolation_directly_as_NS_without_yields,107
without-bidirectional without-remove-redundant-sets,snapshot_isolation_directly_as_NS_without_yields,114
without-remove-redundant-parts without-remove-redundant-sets,snapshot_isolation_directly_as_NS_without_yields,118
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,snapshot_isolation_directly_as_NS_without_yields,110
without-generate-less,snapshot_isolation_directly_as_NS_without_yields,110
without-bidirectional without-generate-less,snapshot_isolation_directly_as_NS_without_yields,113
without-remove-redundant-parts without-generate-less,snapshot_isolation_directly_as_NS_without_yields,106
without-bidirectional without-remove-redundant-parts without-generate-less,snapshot_isolation_directly_as_NS_without_yields,107
without-remove-redundant-sets without-generate-less,snapshot_isolation_directly_as_NS_without_yields,110
without-bidirectional without-remove-redundant-sets without-generate-less,snapshot_isolation_directly_as_NS_without_yields,109
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,snapshot_isolation_directly_as_NS_without_yields,107
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,snapshot_isolation_directly_as_NS_without_yields,110
without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,111
without-bidirectional without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,111
without-remove-redundant-parts without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,110
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,108
without-remove-redundant-sets without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,113
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,108
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,113
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,111
without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,112
without-bidirectional without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,116
without-remove-redundant-parts without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,129
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,106
without-remove-redundant-sets without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,109
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,108
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,116
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,110
all-on,snapshot_isolation_directly_as_NS_with_yields,116
without-bidirectional,snapshot_isolation_directly_as_NS_with_yields,119
without-remove-redundant-parts,snapshot_isolation_directly_as_NS_with_yields,112
without-bidirectional without-remove-redundant-parts,snapshot_isolation_directly_as_NS_with_yields,115
without-remove-redundant-sets,snapshot_isolation_directly_as_NS_with_yields,114
without-bidirectional without-remove-redundant-sets,snapshot_isolation_directly_as_NS_with_yields,114
without-remove-redundant-parts without-remove-redundant-sets,snapshot_isolation_directly_as_NS_with_yields,116
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,snapshot_isolation_directly_as_NS_with_yields,116
without-generate-less,snapshot_isolation_directly_as_NS_with_yields,119
without-bidirectional without-generate-less,snapshot_isolation_directly_as_NS_with_yields,116
without-remove-redundant-parts without-generate-less,snapshot_isolation_directly_as_NS_with_yields,112
without-bidirectional without-remove-redundant-parts without-generate-less,snapshot_isolation_directly_as_NS_with_yields,121
without-remove-redundant-sets without-generate-less,snapshot_isolation_directly_as_NS_with_yields,111
without-bidirectional without-remove-redundant-sets without-generate-less,snapshot_isolation_directly_as_NS_with_yields,114
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,snapshot_isolation_directly_as_NS_with_yields,114
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,snapshot_isolation_directly_as_NS_with_yields,114
without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,119
without-bidirectional without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,116
without-remove-redundant-parts without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,120
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,113
without-remove-redundant-sets without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,112
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,112
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,125
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,118
without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,117
without-bidirectional without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,121
without-remove-redundant-parts without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,118
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,113
without-remove-redundant-sets without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,128
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,113
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,116
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,115
all-on,state_machine,136
without-bidirectional,state_machine,139
without-remove-redundant-parts,state_machine,353
without-bidirectional without-remove-redundant-parts,state_machine,1004
without-remove-redundant-sets,state_machine,129
without-bidirectional without-remove-redundant-sets,state_machine,123
without-remove-redundant-parts without-remove-redundant-sets,state_machine,362
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,state_machine,201
without-generate-less,state_machine,93
without-bidirectional without-generate-less,state_machine,88
without-remove-redundant-parts without-generate-less,state_machine,90
without-bidirectional without-remove-redundant-parts without-generate-less,state_machine,92
without-remove-redundant-sets without-generate-less,state_machine,93
without-bidirectional without-remove-redundant-sets without-generate-less,state_machine,90
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,state_machine,89
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,state_machine,91
without-smart-kleene-order,state_machine,134
without-bidirectional without-smart-kleene-order,state_machine,137
without-remove-redundant-parts without-smart-kleene-order,state_machine,1003
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,state_machine,1003
without-remove-redundant-sets without-smart-kleene-order,state_machine,131
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,state_machine,133
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,state_machine,202
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,state_machine,198
without-generate-less without-smart-kleene-order,state_machine,93
without-bidirectional without-generate-less without-smart-kleene-order,state_machine,91
without-remove-redundant-parts without-generate-less without-smart-kleene-order,state_machine,90
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,state_machine,89
without-remove-redundant-sets without-generate-less without-smart-kleene-order,state_machine,100
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,state_machine,92
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,state_machine,94
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,state_machine,89
