mode,example,elapsed_ms
all-on,arithmetic,91
without-bidirectional,arithmetic,87
without-remove-redundant-parts,arithmetic,89
without-bidirectional without-remove-redundant-parts,arithmetic,89
without-remove-redundant-sets,arithmetic,91
without-bidirectional without-remove-redundant-sets,arithmetic,91
without-remove-redundant-parts without-remove-redundant-sets,arithmetic,91
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,arithmetic,88
without-generate-less,arithmetic,94
without-bidirectional without-generate-less,arithmetic,94
without-remove-redundant-parts without-generate-less,arithmetic,96
without-bidirectional without-remove-redundant-parts without-generate-less,arithmetic,90
without-remove-redundant-sets without-generate-less,arithmetic,91
without-bidirectional without-remove-redundant-sets without-generate-less,arithmetic,100
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,arithmetic,91
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,arithmetic,89
without-smart-kleene-order,arithmetic,88
without-bidirectional without-smart-kleene-order,arithmetic,93
without-remove-redundant-parts without-smart-kleene-order,arithmetic,88
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,arithmetic,94
without-remove-redundant-sets without-smart-kleene-order,arithmetic,112
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,arithmetic,104
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,arithmetic,118
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,arithmetic,115
without-generate-less without-smart-kleene-order,arithmetic,108
without-bidirectional without-generate-less without-smart-kleene-order,arithmetic,110
without-remove-redundant-parts without-generate-less without-smart-kleene-order,arithmetic,104
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,arithmetic,103
without-remove-redundant-sets without-generate-less without-smart-kleene-order,arithmetic,111
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,arithmetic,90
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,arithmetic,87
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,arithmetic,90
all-on,bank,4060
without-bidirectional,bank,4829
without-remove-redundant-parts,bank,4141
without-bidirectional without-remove-redundant-parts,bank,5267
without-remove-redundant-sets,bank,5153
without-bidirectional without-remove-redundant-sets,bank,7842
without-remove-redundant-parts without-remove-redundant-sets,bank,9206
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,bank,8960
without-generate-less,bank,4115
without-bidirectional without-generate-less,bank,30610
without-remove-redundant-parts without-generate-less,bank,30890
