bidirectional_pruning ON,remove_redundant ON,generate_less ON,smart_order ON,benchmark,index,stage,num_places,num_transitions
1,1,1,1,data_flow,0,pre_pruning,12,10
1,1,1,1,data_flow,0,post_pruning,9,7
1,1,1,1,ex,0,pre_pruning,8,7
1,1,1,1,ex,0,post_pruning,8,6
1,1,1,1,login_flow,0,pre_pruning,17,18
1,1,1,1,login_flow,0,post_pruning,17,18
1,1,1,1,flag_non_ser,0,pre_pruning,9,11
1,1,1,1,flag_non_ser,0,post_pruning,1,0
1,1,1,1,fred_arith_simplified_until_1,0,pre_pruning,14,14
1,1,1,1,fred_arith_simplified_until_1,0,post_pruning,8,6
1,1,1,1,state_machine,0,pre_pruning,17,21
1,1,1,1,state_machine,0,post_pruning,17,18
1,1,1,1,shopping_cart,0,pre_pruning,18,24
1,1,1,1,shopping_cart,0,post_pruning,16,19
1,1,1,1,fred_arith,0,pre_pruning,24,26
1,1,1,1,fred_arith,0,post_pruning,18,14
1,1,1,1,data_flow,1,pre_pruning,12,10
1,1,1,1,data_flow,1,post_pruning,9,7
1,1,1,1,flag_non_ser,1,pre_pruning,9,11
1,1,1,1,fred_arith_simplified_until_1,1,pre_pruning,14,14
1,1,1,1,flag_non_ser,1,post_pruning,9,11
1,1,1,1,fred_arith_simplified_until_1,1,post_pruning,8,6
1,1,1,1,state_machine,1,pre_pruning,17,21
1,1,1,1,login_flow,1,pre_pruning,17,18
1,1,1,1,state_machine,1,post_pruning,17,18
1,1,1,1,login_flow,1,post_pruning,17,18
1,1,1,1,shopping_cart,1,pre_pruning,18,24
1,1,1,1,shopping_cart,1,post_pruning,17,20
1,1,1,1,fred_arith,1,pre_pruning,24,26
1,1,1,1,fred_arith,1,post_pruning,18,14
1,1,1,1,fred_arith_simplified_until_1,2,pre_pruning,14,14
1,1,1,1,fred_arith_simplified_until_1,2,post_pruning,8,6
1,1,1,1,shopping_cart,2,pre_pruning,18,24
1,1,1,1,shopping_cart,2,post_pruning,17,20
1,1,1,1,fred_arith,2,pre_pruning,24,26
1,1,1,1,fred_arith,2,post_pruning,18,14
1,1,1,1,fred_arith_simplified_until_1,3,pre_pruning,14,14
1,1,1,1,fred_arith_simplified_until_1,3,post_pruning,8,6
1,1,1,1,shopping_cart,3,pre_pruning,18,24
1,1,1,1,shopping_cart,3,post_pruning,18,21
1,1,1,1,fred_arith,3,pre_pruning,24,26
1,1,1,1,fred_arith,3,post_pruning,18,14
1,1,1,1,fred_arith_simplified_until_1,4,pre_pruning,14,14
1,1,1,1,fred_arith_simplified_until_1,4,post_pruning,8,6
1,1,1,1,shopping_cart,4,pre_pruning,18,24
1,1,1,1,shopping_cart,4,post_pruning,18,21
1,1,1,1,fred_arith,4,pre_pruning,24,26
1,1,1,1,fred_arith,4,post_pruning,18,14
1,1,1,1,fred_arith_simplified_until_1,5,pre_pruning,14,14
1,1,1,1,fred_arith_simplified_until_1,5,post_pruning,8,6
1,1,1,1,fred_arith,5,pre_pruning,24,26
1,1,1,1,fred_arith,5,post_pruning,1,0
1,1,1,1,shopping_cart,5,pre_pruning,18,24
1,1,1,1,shopping_cart,5,post_pruning,17,20
