example,bidirectional_pruning ON,remove_redundant ON,generate_less ON,smart_order ON,elapsed_ms
data_flow.json,1,1,1,1,151
data_flow.json,0,0,0,0,100
data_flow.json,1,0,0,0,103
data_flow.json,0,1,0,0,104
data_flow.json,0,0,1,0,99
data_flow.json,0,0,0,1,105
login_flow.json,1,1,1,1,127
login_flow.json,0,0,0,0,85
login_flow.json,1,0,0,0,88
login_flow.json,0,1,0,0,86
login_flow.json,0,0,1,0,278
login_flow.json,0,0,0,1,83
shopping_cart.json,1,1,1,1,225
shopping_cart.json,0,0,0,0,135
shopping_cart.json,1,0,0,0,134
shopping_cart.json,0,1,0,0,139
shopping_cart.json,0,0,1,0,90
shopping_cart.json,0,0,0,1,151
state_machine.json,1,1,1,1,121
state_machine.json,0,0,0,0,88
state_machine.json,1,0,0,0,88
state_machine.json,0,1,0,0,88
state_machine.json,0,0,1,0,199
state_machine.json,0,0,0,1,93
arithmetic_with_comments.ser,1,1,1,1,86
arithmetic_with_comments.ser,0,0,0,0,89
arithmetic_with_comments.ser,1,0,0,0,83
arithmetic_with_comments.ser,0,1,0,0,90
arithmetic_with_comments.ser,0,0,1,0,84
arithmetic_with_comments.ser,0,0,0,1,85
bank.ser,1,1,1,1,3373
bank.ser,0,0,0,0,1963
bank.ser,1,0,0,0,2049
bank.ser,0,1,0,0,2183
bank.ser,0,0,1,0,4876
bank.ser,0,0,0,1,2110
bank_without_yields.ser,1,1,1,1,1071
bank_without_yields.ser,0,0,0,0,10144
bank_without_yields.ser,1,0,0,0,10166
bank_without_yields.ser,0,1,0,0,10155
bank_without_yields.ser,0,0,1,0,2383
bank_without_yields.ser,0,0,0,1,10160
BGP_routing.ser,1,1,1,1,619
BGP_routing.ser,0,0,0,0,10123
BGP_routing.ser,1,0,0,0,10122
BGP_routing.ser,0,1,0,0,10117
BGP_routing.ser,0,0,1,0,454
BGP_routing.ser,0,0,0,1,10119
boolean_ops.ser,1,1,1,1,84
boolean_ops.ser,0,0,0,0,88
boolean_ops.ser,1,0,0,0,86
boolean_ops.ser,0,1,0,0,83
boolean_ops.ser,0,0,1,0,90
boolean_ops.ser,0,0,0,1,85
