bidirectional ON,remove-redundant-parts ON,remove-redundant-sets ON,generate-less ON,smart-kleene-order ON,benchmark,type,timeout_ms,time_ms,terminated
1,1,1,1,1,arithmetic,ser,30000,91,1
0,1,1,1,1,arithmetic,ser,30000,87,1
1,0,1,1,1,arithmetic,ser,30000,89,1
0,0,1,1,1,arithmetic,ser,30000,89,1
1,1,0,1,1,arithmetic,ser,30000,91,1
0,1,0,1,1,arithmetic,ser,30000,91,1
1,0,0,1,1,arithmetic,ser,30000,91,1
0,0,0,1,1,arithmetic,ser,30000,88,1
1,1,1,0,1,arithmetic,ser,30000,94,1
0,1,1,0,1,arithmetic,ser,30000,94,1
1,0,1,0,1,arithmetic,ser,30000,96,1
0,0,1,0,1,arithmetic,ser,30000,90,1
1,1,0,0,1,arithmetic,ser,30000,91,1
0,1,0,0,1,arithmetic,ser,30000,100,1
1,0,0,0,1,arithmetic,ser,30000,91,1
0,0,0,0,1,arithmetic,ser,30000,89,1
1,1,1,1,0,arithmetic,ser,30000,88,1
0,1,1,1,0,arithmetic,ser,30000,93,1
1,0,1,1,0,arithmetic,ser,30000,88,1
0,0,1,1,0,arithmetic,ser,30000,94,1
1,1,0,1,0,arithmetic,ser,30000,112,1
0,1,0,1,0,arithmetic,ser,30000,104,1
1,0,0,1,0,arithmetic,ser,30000,118,1
0,0,0,1,0,arithmetic,ser,30000,115,1
1,1,1,0,0,arithmetic,ser,30000,108,1
0,1,1,0,0,arithmetic,ser,30000,110,1
1,0,1,0,0,arithmetic,ser,30000,104,1
0,0,1,0,0,arithmetic,ser,30000,103,1
1,1,0,0,0,arithmetic,ser,30000,111,1
0,1,0,0,0,arithmetic,ser,30000,90,1
1,0,0,0,0,arithmetic,ser,30000,87,1
0,0,0,0,0,arithmetic,ser,30000,90,1
1,1,1,1,1,bank,ser,30000,4060,1
0,1,1,1,1,bank,ser,30000,4829,1
1,0,1,1,1,bank,ser,30000,4141,1
0,0,1,1,1,bank,ser,30000,5267,1
1,1,0,1,1,bank,ser,30000,5153,1
0,1,0,1,1,bank,ser,30000,7842,1
1,0,0,1,1,bank,ser,30000,9206,1
0,0,0,1,1,bank,ser,30000,8960,1
1,1,1,0,1,bank,ser,30000,4115,1
0,1,1,0,1,bank,ser,30000,30610,0
1,0,1,0,1,bank,ser,30000,30890,0
0,0,1,0,1,bank,ser,30000,31025,0
1,1,0,0,1,bank,ser,30000,30892,0
0,1,0,0,1,bank,ser,30000,5489,1
1,0,0,0,1,bank,ser,30000,30770,0
0,0,0,0,1,bank,ser,30000,3122,1
1,1,1,1,0,bank,ser,30000,7091,1
0,1,1,1,0,bank,ser,30000,5163,1
1,0,1,1,0,bank,ser,30000,3848,1
0,0,1,1,0,bank,ser,30000,4484,1
1,1,0,1,0,bank,ser,30000,5810,1
0,1,0,1,0,bank,ser,30000,5139,1
1,0,0,1,0,bank,ser,30000,7247,1
0,0,0,1,0,bank,ser,30000,5916,1
1,1,1,0,0,bank,ser,30000,5358,1
0,1,1,0,0,bank,ser,30000,16337,1
1,0,1,0,0,bank,ser,30000,20538,1
0,0,1,0,0,bank,ser,30000,30529,0
1,1,0,0,0,bank,ser,30000,31439,0
0,1,0,0,0,bank,ser,30000,31426,0
1,0,0,0,0,bank,ser,30000,4998,1
0,0,0,0,0,bank,ser,30000,23578,1
1,1,1,1,1,bank_without_yields,ser,30000,1220,1
0,1,1,1,1,bank_without_yields,ser,30000,1203,1
1,0,1,1,1,bank_without_yields,ser,30000,1187,1
0,0,1,1,1,bank_without_yields,ser,30000,1122,1
1,1,0,1,1,bank_without_yields,ser,30000,1718,1
0,1,0,1,1,bank_without_yields,ser,30000,1638,1
1,0,0,1,1,bank_without_yields,ser,30000,1043,1
0,0,0,1,1,bank_without_yields,ser,30000,2499,1
1,1,1,0,1,bank_without_yields,ser,30000,8450,1
0,1,1,0,1,bank_without_yields,ser,30000,13461,1
1,0,1,0,1,bank_without_yields,ser,30000,238,1
0,0,1,0,1,bank_without_yields,ser,30000,193,1
1,1,0,0,1,bank_without_yields,ser,30000,321,1
0,1,0,0,1,bank_without_yields,ser,30000,30743,0
1,0,0,0,1,bank_without_yields,ser,30000,334,1
0,0,0,0,1,bank_without_yields,ser,30000,31738,0
1,1,1,1,0,bank_without_yields,ser,30000,1137,1
0,1,1,1,0,bank_without_yields,ser,30000,1283,1
1,0,1,1,0,bank_without_yields,ser,30000,1115,1
0,0,1,1,0,bank_without_yields,ser,30000,974,1
1,1,0,1,0,bank_without_yields,ser,30000,1566,1
0,1,0,1,0,bank_without_yields,ser,30000,1146,1
1,0,0,1,0,bank_without_yields,ser,30000,1077,1
0,0,0,1,0,bank_without_yields,ser,30000,1862,1
1,1,1,0,0,bank_without_yields,ser,30000,31113,0
0,1,1,0,0,bank_without_yields,ser,30000,208,1
1,0,1,0,0,bank_without_yields,ser,30000,420,1
0,0,1,0,0,bank_without_yields,ser,30000,30752,0
1,1,0,0,0,bank_without_yields,ser,30000,11001,1
0,1,0,0,0,bank_without_yields,ser,30000,226,1
1,0,0,0,0,bank_without_yields,ser,30000,30736,0
0,0,0,0,0,bank_without_yields,ser,30000,31956,0
1,1,1,1,1,BGP_routing,ser,30000,841,1
0,1,1,1,1,BGP_routing,ser,30000,728,1
1,0,1,1,1,BGP_routing,ser,30000,521,1
0,0,1,1,1,BGP_routing,ser,30000,470,1
1,1,0,1,1,BGP_routing,ser,30000,710,1
0,1,0,1,1,BGP_routing,ser,30000,705,1
1,0,0,1,1,BGP_routing,ser,30000,600,1
0,0,0,1,1,BGP_routing,ser,30000,553,1
1,1,1,0,1,BGP_routing,ser,30000,30127,0
0,1,1,0,1,BGP_routing,ser,30000,30114,0
1,0,1,0,1,BGP_routing,ser,30000,30294,0
0,0,1,0,1,BGP_routing,ser,30000,30064,0
1,1,0,0,1,BGP_routing,ser,30000,30042,0
0,1,0,0,1,BGP_routing,ser,30000,30067,0
1,0,0,0,1,BGP_routing,ser,30000,30076,0
