mode,example,elapsed_ms
regular,arithmetic,99
bidirectional,arithmetic,94
remove-redundant-parts,arithmetic,92
bidirectional+remove-redundant-parts,arithmetic,95
remove-redundant-sets,arithmetic,101
bidirectional+remove-redundant-sets,arithmetic,94
remove-redundant-parts+remove-redundant-sets,arithmetic,85
bidirectional+remove-redundant-parts+remove-redundant-sets,arithmetic,94
generate-less,arithmetic,96
bidirectional+generate-less,arithmetic,98
remove-redundant-parts+generate-less,arithmetic,96
bidirectional+remove-redundant-parts+generate-less,arithmetic,94
remove-redundant-sets+generate-less,arithmetic,93
bidirectional+remove-redundant-sets+generate-less,arithmetic,111
remove-redundant-parts+remove-redundant-sets+generate-less,arithmetic,98
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less,arithmetic,93
smart-kleene-order,arithmetic,94
bidirectional+smart-kleene-order,arithmetic,97
remove-redundant-parts+smart-kleene-order,arithmetic,96
bidirectional+remove-redundant-parts+smart-kleene-order,arithmetic,93
remove-redundant-sets+smart-kleene-order,arithmetic,88
bidirectional+remove-redundant-sets+smart-kleene-order,arithmetic,93
remove-redundant-parts+remove-redundant-sets+smart-kleene-order,arithmetic,96
bidirectional+remove-redundant-parts+remove-redundant-sets+smart-kleene-order,arithmetic,86
generate-less+smart-kleene-order,arithmetic,89
bidirectional+generate-less+smart-kleene-order,arithmetic,114
remove-redundant-parts+generate-less+smart-kleene-order,arithmetic,107
bidirectional+remove-redundant-parts+generate-less+smart-kleene-order,arithmetic,95
remove-redundant-sets+generate-less+smart-kleene-order,arithmetic,89
bidirectional+remove-redundant-sets+generate-less+smart-kleene-order,arithmetic,103
remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,arithmetic,100
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,arithmetic,98
regular,bank,10018
bidirectional,bank,10019
remove-redundant-parts,bank,10019
bidirectional+remove-redundant-parts,bank,10018
remove-redundant-sets,bank,10019
bidirectional+remove-redundant-sets,bank,10023
remove-redundant-parts+remove-redundant-sets,bank,10024
bidirectional+remove-redundant-parts+remove-redundant-sets,bank,10026
generate-less,bank,5323
bidirectional+generate-less,bank,10023
remove-redundant-parts+generate-less,bank,10086
bidirectional+remove-redundant-parts+generate-less,bank,10089
remove-redundant-sets+generate-less,bank,8277
bidirectional+remove-redundant-sets+generate-less,bank,10089
remove-redundant-parts+remove-redundant-sets+generate-less,bank,6292
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less,bank,10094
smart-kleene-order,bank,10015
bidirectional+smart-kleene-order,bank,10003
remove-redundant-parts+smart-kleene-order,bank,10019
bidirectional+remove-redundant-parts+smart-kleene-order,bank,10017
remove-redundant-sets+smart-kleene-order,bank,10076
bidirectional+remove-redundant-sets+smart-kleene-order,bank,10027
remove-redundant-parts+remove-redundant-sets+smart-kleene-order,bank,10019
bidirectional+remove-redundant-parts+remove-redundant-sets+smart-kleene-order,bank,10020
generate-less+smart-kleene-order,bank,9042
bidirectional+generate-less+smart-kleene-order,bank,8910
remove-redundant-parts+generate-less+smart-kleene-order,bank,8101
bidirectional+remove-redundant-parts+generate-less+smart-kleene-order,bank,10122
remove-redundant-sets+generate-less+smart-kleene-order,bank,9764
