mode,example,elapsed_ms
all-on,arithmetic,72
without-bidirectional,arithmetic,68
without-remove-redundant-parts,arithmetic,77
without-bidirectional without-remove-redundant-parts,arithmetic,67
without-remove-redundant-sets,arithmetic,74
without-bidirectional without-remove-redundant-sets,arithmetic,68
without-remove-redundant-parts without-remove-redundant-sets,arithmetic,73
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,arithmetic,70
without-generate-less,arithmetic,67
without-bidirectional without-generate-less,arithmetic,75
without-remove-redundant-parts without-generate-less,arithmetic,79
without-bidirectional without-remove-redundant-parts without-generate-less,arithmetic,78
without-remove-redundant-sets without-generate-less,arithmetic,85
without-bidirectional without-remove-redundant-sets without-generate-less,arithmetic,78
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,arithmetic,87
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,arithmetic,73
without-smart-kleene-order,arithmetic,72
without-bidirectional without-smart-kleene-order,arithmetic,71
without-remove-redundant-parts without-smart-kleene-order,arithmetic,77
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,arithmetic,76
without-remove-redundant-sets without-smart-kleene-order,arithmetic,72
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,arithmetic,78
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,arithmetic,74
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,arithmetic,72
without-generate-less without-smart-kleene-order,arithmetic,75
without-bidirectional without-generate-less without-smart-kleene-order,arithmetic,70
without-remove-redundant-parts without-generate-less without-smart-kleene-order,arithmetic,72
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,arithmetic,71
without-remove-redundant-sets without-generate-less without-smart-kleene-order,arithmetic,71
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,arithmetic,70
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,arithmetic,72
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,arithmetic,69
all-on,bank,66
without-bidirectional,bank,70
without-remove-redundant-parts,bank,68
without-bidirectional without-remove-redundant-parts,bank,69
without-remove-redundant-sets,bank,70
without-bidirectional without-remove-redundant-sets,bank,72
without-remove-redundant-parts without-remove-redundant-sets,bank,70
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,bank,76
without-generate-less,bank,74
without-bidirectional without-generate-less,bank,69
without-remove-redundant-parts without-generate-less,bank,68
without-bidirectional without-remove-redundant-parts without-generate-less,bank,68
without-remove-redundant-sets without-generate-less,bank,67
without-bidirectional without-remove-redundant-sets without-generate-less,bank,69
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,bank,68
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,bank,73
without-smart-kleene-order,bank,69
without-bidirectional without-smart-kleene-order,bank,67
without-remove-redundant-parts without-smart-kleene-order,bank,70
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,bank,75
without-remove-redundant-sets without-smart-kleene-order,bank,72
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,bank,75
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,bank,70
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,bank,75
without-generate-less without-smart-kleene-order,bank,69
without-bidirectional without-generate-less without-smart-kleene-order,bank,74
without-remove-redundant-parts without-generate-less without-smart-kleene-order,bank,70
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,bank,70
without-remove-redundant-sets without-generate-less without-smart-kleene-order,bank,67
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,bank,71
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,bank,75
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,bank,71
all-on,bank_without_yields,70
without-bidirectional,bank_without_yields,80
without-remove-redundant-parts,bank_without_yields,69
without-bidirectional without-remove-redundant-parts,bank_without_yields,74
without-remove-redundant-sets,bank_without_yields,72
without-bidirectional without-remove-redundant-sets,bank_without_yields,67
without-remove-redundant-parts without-remove-redundant-sets,bank_without_yields,72
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,bank_without_yields,74
without-generate-less,bank_without_yields,76
without-bidirectional without-generate-less,bank_without_yields,72
without-remove-redundant-parts without-generate-less,bank_without_yields,71
without-bidirectional without-remove-redundant-parts without-generate-less,bank_without_yields,68
without-remove-redundant-sets without-generate-less,bank_without_yields,72
without-bidirectional without-remove-redundant-sets without-generate-less,bank_without_yields,68
