mode,example,elapsed_ms
all-on,data_flow,101
without-bidirectional,data_flow,98
without-remove-redundant-parts,data_flow,100
without-bidirectional without-remove-redundant-parts,data_flow,99
without-remove-redundant-sets,data_flow,104
without-bidirectional without-remove-redundant-sets,data_flow,97
without-remove-redundant-parts without-remove-redundant-sets,data_flow,101
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,data_flow,104
without-generate-less,data_flow,105
without-bidirectional without-generate-less,data_flow,103
without-remove-redundant-parts without-generate-less,data_flow,101
without-bidirectional without-remove-redundant-parts without-generate-less,data_flow,103
without-remove-redundant-sets without-generate-less,data_flow,103
without-bidirectional without-remove-redundant-sets without-generate-less,data_flow,106
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,data_flow,99
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,data_flow,100
without-smart-kleene-order,data_flow,103
without-bidirectional without-smart-kleene-order,data_flow,102
without-remove-redundant-parts without-smart-kleene-order,data_flow,101
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,data_flow,100
without-remove-redundant-sets without-smart-kleene-order,data_flow,98
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,data_flow,99
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,data_flow,101
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,data_flow,100
without-generate-less without-smart-kleene-order,data_flow,102
without-bidirectional without-generate-less without-smart-kleene-order,data_flow,107
without-remove-redundant-parts without-generate-less without-smart-kleene-order,data_flow,98
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,data_flow,106
without-remove-redundant-sets without-generate-less without-smart-kleene-order,data_flow,105
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,data_flow,107
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,data_flow,100
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,data_flow,102
all-on,login_flow,112
without-bidirectional,login_flow,115
without-remove-redundant-parts,login_flow,316
without-bidirectional without-remove-redundant-parts,login_flow,316
without-remove-redundant-sets,login_flow,118
without-bidirectional without-remove-redundant-sets,login_flow,117
without-remove-redundant-parts without-remove-redundant-sets,login_flow,151
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,login_flow,258
without-generate-less,login_flow,91
without-bidirectional without-generate-less,login_flow,103
without-remove-redundant-parts without-generate-less,login_flow,90
without-bidirectional without-remove-redundant-parts without-generate-less,login_flow,90
without-remove-redundant-sets without-generate-less,login_flow,90
without-bidirectional without-remove-redundant-sets without-generate-less,login_flow,89
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,login_flow,89
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,login_flow,85
without-smart-kleene-order,login_flow,116
without-bidirectional without-smart-kleene-order,login_flow,110
without-remove-redundant-parts without-smart-kleene-order,login_flow,415
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,login_flow,187
without-remove-redundant-sets without-smart-kleene-order,login_flow,112
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,login_flow,129
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,login_flow,153
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,login_flow,146
without-generate-less without-smart-kleene-order,login_flow,87
without-bidirectional without-generate-less without-smart-kleene-order,login_flow,87
without-remove-redundant-parts without-generate-less without-smart-kleene-order,login_flow,85
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,login_flow,89
without-remove-redundant-sets without-generate-less without-smart-kleene-order,login_flow,83
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,login_flow,87
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,login_flow,91
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,login_flow,92
all-on,shopping_cart,171
