mode,example,elapsed_ms
all-on,arithmetic,87
without-bidirectional,arithmetic,85
without-remove-redundant-parts,arithmetic,84
without-bidirectional without-remove-redundant-parts,arithmetic,87
without-remove-redundant-sets,arithmetic,86
without-bidirectional without-remove-redundant-sets,arithmetic,88
without-remove-redundant-parts without-remove-redundant-sets,arithmetic,87
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,arithmetic,88
without-generate-less,arithmetic,84
without-bidirectional without-generate-less,arithmetic,89
without-remove-redundant-parts without-generate-less,arithmetic,86
without-bidirectional without-remove-redundant-parts without-generate-less,arithmetic,87
without-remove-redundant-sets without-generate-less,arithmetic,89
without-bidirectional without-remove-redundant-sets without-generate-less,arithmetic,88
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,arithmetic,103
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,arithmetic,92
without-smart-kleene-order,arithmetic,85
without-bidirectional without-smart-kleene-order,arithmetic,106
without-remove-redundant-parts without-smart-kleene-order,arithmetic,83
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,arithmetic,84
without-remove-redundant-sets without-smart-kleene-order,arithmetic,87
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,arithmetic,91
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,arithmetic,86
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,arithmetic,87
without-generate-less without-smart-kleene-order,arithmetic,89
without-bidirectional without-generate-less without-smart-kleene-order,arithmetic,89
without-remove-redundant-parts without-generate-less without-smart-kleene-order,arithmetic,88
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,arithmetic,90
without-remove-redundant-sets without-generate-less without-smart-kleene-order,arithmetic,87
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,arithmetic,84
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,arithmetic,94
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,arithmetic,86
all-on,bank,1003
without-bidirectional,bank,1003
without-remove-redundant-parts,bank,1004
without-bidirectional without-remove-redundant-parts,bank,1003
without-remove-redundant-sets,bank,1003
without-bidirectional without-remove-redundant-sets,bank,1003
without-remove-redundant-parts without-remove-redundant-sets,bank,1004
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,bank,1004
without-generate-less,bank,1003
without-bidirectional without-generate-less,bank,1003
without-remove-redundant-parts without-generate-less,bank,1002
without-bidirectional without-remove-redundant-parts without-generate-less,bank,1003
without-remove-redundant-sets without-generate-less,bank,1003
without-bidirectional without-remove-redundant-sets without-generate-less,bank,1004
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,bank,1003
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,bank,1003
without-smart-kleene-order,bank,1005
without-bidirectional without-smart-kleene-order,bank,1003
without-remove-redundant-parts without-smart-kleene-order,bank,1003
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,bank,1004
without-remove-redundant-sets without-smart-kleene-order,bank,1003
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,bank,1004
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,bank,1003
